vg	vd	ids
0.0	0.0	6.75926676554442E-18
0.0	0.05	7.00279715449916E-14
0.0	0.1	7.95236408889974E-14
0.0	0.15	8.19502785743762E-14
0.0	0.2	8.39718767187796E-14
0.0	0.25	8.59887666632562E-14
0.0	0.3	8.80488001692003E-14
0.0	0.35	9.00310694861620E-14
0.0	0.4	9.20580106572210E-14
0.0	0.45	9.41176226037648E-14
0.0	0.5	9.62102898110628E-14
0.0	0.55	9.83097197613322E-14
0.0	0.6	1.00581115783448E-13
0.0	0.65	1.02644591348019E-13
0.0	0.7	1.04954698056285E-13
0.0	0.75	1.07257554638633E-13
0.0	0.8	1.09532963373491E-13
0.0	0.85	1.11992219397955E-13
0.0	0.9	1.14372584739811E-13
0.0	0.95	1.16803144361288E-13
0.0	1.0	1.19317287089190E-13
0.0	1.05	1.21794764784489E-13
0.0	1.1	1.24050831067334E-13
0.0	1.15	1.27096638775017E-13
0.0	1.2	1.21379404371546E-13
0.1	0.0	2.46188980450691E-17
0.1	0.05	2.39376528567289E-12
0.1	0.1	2.72493091568649E-12
0.1	0.15	2.81576351074354E-12
0.1	0.2	2.88833421923432E-12
0.1	0.25	2.96090509295314E-12
0.1	0.3	3.03401993131826E-12
0.1	0.35	3.10797867304593E-12
0.1	0.4	3.17744257090108E-12
0.1	0.45	3.25831561509827E-12
0.1	0.5	3.32825858563966E-12
0.1	0.55	3.40769753263273E-12
0.1	0.6	3.48585437049652E-12
0.1	0.65	3.56800176196040E-12
0.1	0.7	3.65038208582297E-12
0.1	0.75	3.73270498542226E-12
0.1	0.8	3.81690760721015E-12
0.1	0.85	3.90279467802110E-12
0.1	0.9	3.98886263649590E-12
0.1	0.95	4.07722791279324E-12
0.1	1.0	4.16676655719810E-12
0.1	1.05	4.25788452534275E-12
0.1	1.1	4.35072899913685E-12
0.1	1.15	4.44511365417221E-12
0.1	1.2	4.54141456700597E-12
0.2	0.0	-7.62848648073577E-18
0.2	0.05	8.34965183100111E-11
0.2	0.1	9.53181425370921E-11
0.2	0.15	9.86703111832617E-11
0.2	0.2	1.01354079046837E-10
0.2	0.25	1.04026994437284E-10
0.2	0.3	1.06718671599637E-10
0.2	0.35	1.09432303743607E-10
0.2	0.4	1.12173164002800E-10
0.2	0.45	1.14945850523937E-10
0.2	0.5	1.17676023466733E-10
0.2	0.55	1.20559693747684E-10
0.2	0.6	1.23437350087977E-10
0.2	0.65	1.26341315578506E-10
0.2	0.7	1.29303909771586E-10
0.2	0.75	1.32334717495484E-10
0.2	0.8	1.35391349095917E-10
0.2	0.85	1.38486244082062E-10
0.2	0.9	1.41634747346193E-10
0.2	0.95	1.44835443063771E-10
0.2	1.0	1.48087362756572E-10
0.2	1.05	1.51395652302115E-10
0.2	1.1	1.54761097830219E-10
0.2	1.15	1.58186028715501E-10
0.2	1.2	1.61671808700042E-10
0.3	0.0	-2.76749523911047E-17
0.3	0.05	2.94584175055886E-09
0.3	0.1	3.37376579374866E-09
0.3	0.15	3.49890590558108E-09
0.3	0.2	3.59887984816094E-09
0.3	0.25	3.69801442812958E-09
0.3	0.3	3.79755655221534E-09
0.3	0.35	3.89765167090294E-09
0.3	0.4	3.99221059174470E-09
0.3	0.45	4.09655259360269E-09
0.3	0.5	4.20128664750821E-09
0.3	0.55	4.30640635901516E-09
0.3	0.6	4.41233117030540E-09
0.3	0.65	4.51936523779738E-09
0.3	0.7	4.62762415185051E-09
0.3	0.75	4.73722663159800E-09
0.3	0.8	4.84835909550563E-09
0.3	0.85	4.96112677899294E-09
0.3	0.9	5.07560940824392E-09
0.3	0.95	5.19185632359152E-09
0.3	1.0	5.30994264433359E-09
0.3	1.05	5.42993208993980E-09
0.3	1.1	5.55188911177412E-09
0.3	1.15	5.67587738249926E-09
0.3	1.2	5.80196052539703E-09
0.4	0.0	2.90648318527525E-17
0.4	0.05	1.02009568567328E-07
0.4	0.1	1.17589772752599E-07
0.4	0.15	1.22222016015914E-07
0.4	0.2	1.25851982230778E-07
0.4	0.25	1.29414627539917E-07
0.4	0.3	1.32970652751555E-07
0.4	0.35	1.36422921523489E-07
0.4	0.4	1.40090929904263E-07
0.4	0.45	1.43704493578961E-07
0.4	0.5	1.47330041403421E-07
0.4	0.55	1.50986157789972E-07
0.4	0.6	1.54676460229991E-07
0.4	0.65	1.58404191467190E-07
0.4	0.7	1.62172653345205E-07
0.4	0.75	1.65984715798682E-07
0.4	0.8	1.69843106313636E-07
0.4	0.85	1.73750169022044E-07
0.4	0.9	1.77708219531543E-07
0.4	0.95	1.81719439070542E-07
0.4	1.0	1.85785908641943E-07
0.4	1.05	1.89909665789220E-07
0.4	1.1	1.94092679547382E-07
0.4	1.15	1.98336864696529E-07
0.4	1.2	2.02644115925578E-07
0.5	0.0	4.27687610734776E-18
0.5	0.05	2.35293160429182E-06
0.5	0.1	2.86685407361917E-06
0.5	0.15	3.00065022514757E-06
0.5	0.2	3.08414069740286E-06
0.5	0.25	3.16088845179105E-06
0.5	0.3	3.23642101309949E-06
0.5	0.35	3.31096776870708E-06
0.5	0.4	3.38467273612550E-06
0.5	0.45	3.45793505674108E-06
0.5	0.5	3.53096346342530E-06
0.5	0.55	3.60388220382212E-06
0.5	0.6	3.67679306859030E-06
0.5	0.65	3.74977679732392E-06
0.5	0.7	3.82290465512486E-06
0.5	0.75	3.89623312708327E-06
0.5	0.8	3.96981577110120E-06
