vg	vd	ids
0.0	0.0	-7.61171410341161E-18
0.0	0.05	1.62387523458582E-13
0.0	0.1	1.92676612213096E-13
0.0	0.15	2.10582644235498E-13
0.0	0.2	2.29066084354372E-13
0.0	0.25	2.48946830692477E-13
0.0	0.3	2.70390013019323E-13
0.0	0.35	2.93502683537538E-13
0.0	0.4	3.18471363650854E-13
0.0	0.45	3.45418094450574E-13
0.0	0.5	3.74618613720755E-13
0.0	0.55	4.06194486771446E-13
0.0	0.6	4.40397736598393E-13
0.0	0.65	4.77494657107625E-13
0.0	0.7	5.17766059248481E-13
0.0	0.75	5.61503344017512E-13
0.0	0.8	6.09084349142266E-13
0.0	0.85	6.60856055080067E-13
0.0	0.9	7.17042204319291E-13
0.0	0.95	7.79285875219877E-13
0.0	1.0	8.46704077104571E-13
0.0	1.05	9.20106227409258E-13
0.0	1.1	1.00168802140852E-12
0.0	1.15	1.08906926300018E-12
0.0	1.2	1.18863097563338E-12
0.1	0.0	-1.08277895732155E-17
0.1	0.05	4.68202805666218E-12
0.1	0.1	5.57005621642093E-12
0.1	0.15	6.08714024097023E-12
0.1	0.2	6.61437874486627E-12
0.1	0.25	7.17733251855883E-12
0.1	0.3	7.77941086076681E-12
0.1	0.35	8.42378492200085E-12
0.1	0.4	9.11384078506269E-12
0.1	0.45	9.85327754787690E-12
0.1	0.5	1.06460324162638E-11
0.1	0.55	1.14959519424121E-11
0.1	0.6	1.24091319265600E-11
0.1	0.65	1.33870019386797E-11
0.1	0.7	1.44385154695120E-11
0.1	0.75	1.55686982306420E-11
0.1	0.8	1.67793203473861E-11
0.1	0.85	1.80990877647279E-11
0.1	0.9	1.95111437917133E-11
0.1	0.95	2.10364837419842E-11
0.1	1.0	2.26715298795139E-11
0.1	1.05	2.44484118244611E-11
0.1	1.1	2.63449916236378E-11
0.1	1.15	2.84294459279043E-11
0.1	1.2	3.06663535705267E-11
0.2	0.0	-1.07031737468889E-17
0.2	0.05	1.36126756811278E-10
0.2	0.1	1.62509736444081E-10
0.2	0.15	1.77722843411486E-10
0.2	0.2	1.93061897614971E-10
0.2	0.25	2.09318861419475E-10
0.2	0.3	2.26583191208054E-10
0.2	0.35	2.44930308510578E-10
0.2	0.4	2.64439627762919E-10
0.2	0.45	2.85195037690533E-10
0.2	0.5	3.07286052469982E-10
0.2	0.55	3.30807948116254E-10
0.2	0.6	3.55862459378003E-10
0.2	0.65	3.82558658129935E-10
0.2	0.7	4.11013522042959E-10
0.2	0.75	4.41352477550442E-10
0.2	0.8	4.73710332510088E-10
0.2	0.85	5.08233476800951E-10
0.2	0.9	5.45074713173408E-10
0.2	0.95	5.84411582640422E-10
0.2	1.0	6.26404393058787E-10
0.2	1.05	6.71060489657387E-10
0.2	1.1	7.19261234499841E-10
0.2	1.15	7.70534769537162E-10
0.2	1.2	8.25389201207557E-10
0.3	0.0	-4.39494315073999E-18
0.3	0.05	3.94859554981429E-09
0.3	0.1	4.73653438029485E-09
0.3	0.15	5.18743492549545E-09
0.3	0.2	5.63631223093859E-09
0.3	0.25	6.10810340777428E-09
0.3	0.3	6.60534733856215E-09
0.3	0.35	7.12994174982995E-09
0.3	0.4	7.68374433765966E-09
0.3	0.45	8.26876720344796E-09
0.3	0.5	8.88702404207543E-09
0.3	0.55	9.54064130200784E-09
0.3	0.6	1.02318483752210E-08
0.3	0.65	1.09629941920686E-08
0.3	0.7	1.17337612682296E-08
0.3	0.75	1.25551494068383E-08
0.3	0.8	1.34115318802885E-08
0.3	0.85	1.43330656121901E-08
0.3	0.9	1.53094413081519E-08
0.3	0.95	1.63377935869314E-08
0.3	1.0	1.74226271998735E-08
0.3	1.05	1.85797199058542E-08
0.3	1.1	1.98012565908406E-08
0.3	1.15	2.10953823658393E-08
0.3	1.2	2.24663917060958E-08
0.4	0.0	-7.54521045937553E-18
0.4	0.05	1.10460026594649E-07
0.4	0.1	1.33611922023792E-07
0.4	0.15	1.46541679202577E-07
0.4	0.2	1.59113133038977E-07
0.4	0.25	1.72143600053082E-07
0.4	0.3	1.85713157878834E-07
0.4	0.35	1.99868327281207E-07
0.4	0.4	2.14651116957858E-07
0.4	0.45	2.30101384549261E-07
0.4	0.5	2.46258018018726E-07
0.4	0.55	2.62810814650487E-07
0.4	0.6	2.80718018995831E-07
0.4	0.65	2.99349848585806E-07
0.4	0.7	3.18571187751461E-07
0.4	0.75	3.38941713302391E-07
0.4	0.8	3.60115727696963E-07
0.4	0.85	3.82359018300926E-07
0.4	0.9	4.05721176497204E-07
0.4	0.95	4.30067785381158E-07
0.4	1.0	4.55548049314640E-07
0.4	1.05	4.82209672959090E-07
0.4	1.1	5.10109909661183E-07
0.4	1.15	5.39300852207643E-07
0.4	1.2	5.69835823900977E-07
0.5	0.0	1.15463844721712E-18
0.5	0.05	2.14514139318035E-06
0.5	0.1	2.70222715279048E-06
0.5	0.15	2.95348672240517E-06
0.5	0.2	3.16835203307215E-06
0.5	0.25	3.38041678055123E-06
0.5	0.3	3.59347016935228E-06
0.5	0.35	3.80761368453222E-06
0.5	0.4	4.02649328783196E-06
0.5	0.45	4.24756669008124E-06
0.5	0.5	4.47217966441313E-06
0.5	0.55	4.70062558762980E-06
0.5	0.6	4.93229679299068E-06
0.5	0.65	5.16925468112972E-06
0.5	0.7	5.41110832670126E-06
0.5	0.75	5.65656850113236E-06
0.5	0.8	5.90748797021310E-06
0.5	0.85	6.16284540304089E-06
0.5	0.9	6.42340929697778E-06
0.5	0.95	6.68900714039207E-06
0.5	1.0	6.95986069800169E-06
0.5	1.05	7.23606991232356E-06
0.5	1.1	7.51773853711464E-06
