vg	vd	ids
0.0	0.0	-1.49530779932441E-17
0.0	0.05	1.49398452723835E-13
0.0	0.1	1.67461258606039E-13
0.0	0.15	1.77597532568110E-13
0.0	0.2	1.88076604871183E-13
0.0	0.25	1.99225558335266E-13
0.0	0.3	2.10904252049056E-13
0.0	0.35	2.23320572604737E-13
0.0	0.4	2.36377403803722E-13
0.0	0.45	2.50073895318589E-13
0.0	0.5	2.64727863607852E-13
0.0	0.55	2.80196618611291E-13
0.0	0.6	2.96444391835878E-13
0.0	0.65	3.13736263920752E-13
0.0	0.7	3.31947003393441E-13
0.0	0.75	3.51399235660416E-13
0.0	0.8	3.71994966167358E-13
0.0	0.85	3.93687645066633E-13
0.0	0.9	4.16839233249247E-13
0.0	0.95	4.41319752737586E-13
0.0	1.0	4.67319313022912E-13
0.0	1.05	4.94830623123953E-13
0.0	1.1	5.24090174292548E-13
0.0	1.15	5.55222627652401E-13
0.0	1.2	5.88123820401993E-13
0.1	0.0	1.55852953025816E-17
0.1	0.05	4.58421703166870E-12
0.1	0.1	5.16053522167999E-12
0.1	0.15	5.48174403001353E-12
0.1	0.2	5.81332942842158E-12
0.1	0.25	6.16130568859638E-12
0.1	0.3	6.52689608835749E-12
0.1	0.35	6.91140079828312E-12
0.1	0.4	7.31604664053037E-12
0.1	0.45	7.74202105346802E-12
0.1	0.5	8.19071759766479E-12
0.1	0.55	8.66275006973160E-12
0.1	0.6	9.16183792097226E-12
0.1	0.65	9.68679865215997E-12
0.1	0.7	1.02409754044850E-11
0.1	0.75	1.08259994431400E-11
0.1	0.8	1.14424190982212E-11
0.1	0.85	1.20933522566411E-11
0.1	0.9	1.27803329943040E-11
0.1	0.95	1.35050984939661E-11
0.1	1.0	1.42702567029980E-11
0.1	1.05	1.50783286740261E-11
0.1	1.1	1.59314213547985E-11
0.1	1.15	1.68325573676535E-11
0.1	1.2	1.77842951775915E-11
0.2	0.0	7.96878918568356E-17
0.2	0.05	1.42371070489492E-10
0.2	0.1	1.61019861498420E-10
0.2	0.15	1.71321180866451E-10
0.2	0.2	1.81868614085013E-10
0.2	0.25	1.92888835820774E-10
0.2	0.3	2.04419125242095E-10
0.2	0.35	2.16496351218704E-10
0.2	0.4	2.29156925709517E-10
0.2	0.45	2.42437425414117E-10
0.2	0.5	2.56375488497546E-10
0.2	0.55	2.70987482702109E-10
0.2	0.6	2.86362091319279E-10
0.2	0.65	3.02515342567459E-10
0.2	0.7	3.19482828437742E-10
0.2	0.75	3.37314598659554E-10
0.2	0.8	3.56048857374765E-10
0.2	0.85	3.75745721606336E-10
0.2	0.9	3.96448701363891E-10
0.2	0.95	4.18212658033401E-10
0.2	1.0	4.41094176249137E-10
0.2	1.05	4.65151976047954E-10
0.2	1.1	4.90447705226941E-10
0.2	1.15	5.17045915156105E-10
0.2	1.2	5.45015628300275E-10
0.3	0.0	2.83657221628339E-17
0.3	0.05	4.43228910664244E-09
0.3	0.1	5.04082571126253E-09
0.3	0.15	5.37334408123367E-09
0.3	0.2	5.71022262415257E-09
0.3	0.25	6.05998004082015E-09
0.3	0.3	6.42397118344901E-09
0.3	0.35	6.80341710032352E-09
0.3	0.4	7.19944414144040E-09
0.3	0.45	7.61313973961605E-09
0.3	0.5	8.04524610974063E-09
0.3	0.55	8.49763770599881E-09
0.3	0.6	8.97091760735035E-09
0.3	0.65	9.46610486678431E-09
0.3	0.7	9.98448025195200E-09
0.3	0.75	1.05270854208327E-08
0.3	0.8	1.10952216121003E-08
0.3	0.85	1.16900825597096E-08
0.3	0.9	1.23129667603909E-08
0.3	0.95	1.29652159140643E-08
0.3	1.0	1.36482101586361E-08
0.3	1.05	1.43633927316161E-08
0.3	1.1	1.51122690904451E-08
0.3	1.15	1.58964066864337E-08
0.3	1.2	1.67174416144348E-08
0.4	0.0	3.75164714893897E-17
0.4	0.05	1.34443750631214E-07
0.4	0.1	1.54269484773618E-07
0.4	0.15	1.64793084001185E-07
0.4	0.2	1.75228666325118E-07
0.4	0.25	1.85933253263122E-07
0.4	0.3	1.96968065706931E-07
0.4	0.35	2.08378692173759E-07
0.4	0.4	2.20201650509986E-07
0.4	0.45	2.32469111754199E-07
0.4	0.5	2.45208424175956E-07
0.4	0.55	2.58451677089485E-07
0.4	0.6	2.72222796447919E-07
0.4	0.65	2.86546433322099E-07
0.4	0.7	3.01449418454625E-07
0.4	0.75	3.16957145854144E-07
0.4	0.8	3.33095452848780E-07
0.4	0.85	3.49890265567481E-07
0.4	0.9	3.67367841975790E-07
0.4	0.95	3.85554967879091E-07
0.4	1.0	4.04478772869387E-07
0.4	1.05	4.24166992062658E-07
0.4	1.1	4.44648004465735E-07
0.4	1.15	4.65950760201666E-07
0.4	1.2	4.88104946863153E-07
0.5	0.0	4.36983143895331E-17
0.5	0.05	2.99587295361858E-06
0.5	0.1	3.56468282716481E-06
0.5	0.15	3.80011864192790E-06
0.5	0.2	4.01122600619100E-06
0.5	0.25	4.21936548859987E-06
0.5	0.3	4.42754345144202E-06
0.5	0.35	4.63728958807340E-06
0.5	0.4	4.84956924602993E-06
0.5	0.45	5.06506556914503E-06
0.5	0.5	5.28415155682030E-06
0.5	0.55	5.50723868391385E-06
0.5	0.6	5.73459237924083E-06
0.5	0.65	5.96642025538991E-06
0.5	0.7	6.20290230168307E-06
0.5	0.75	6.44418901275529E-06
0.5	0.8	6.69040456823987E-06
0.5	0.85	6.94166894670473E-06
0.5	0.9	7.19806920569331E-06
