vg	vd	ids
0.0	0.0	-9.98682107076929E-17
0.0	0.05	9.09076713123423E-12
0.0	0.1	1.19595075548093E-11
0.0	0.15	1.53944827848497E-11
0.0	0.2	2.00312709335380E-11
0.0	0.25	2.63635028104824E-11
0.0	0.3	3.50967454604252E-11
0.0	0.35	4.72465438085490E-11
0.0	0.4	6.42643269462612E-11
0.0	0.45	8.81849278369460E-11
0.0	0.5	1.22032782825304E-10
0.0	0.55	1.70114042371317E-10
0.0	0.6	2.38630055454609E-10
0.0	0.65	3.36408965699272E-10
0.0	0.7	4.76042466646054E-10
0.0	0.75	6.75418905598569E-10
0.0	0.8	9.59808627595603E-10
0.0	0.85	1.36473663845631E-09
0.0	0.9	1.94021637238534E-09
0.0	0.95	2.75566786367102E-09
0.0	1.0	3.90763926948653E-09
0.0	1.05	5.52931618621608E-09
0.0	1.1	7.80343836595349E-09
0.0	1.15	1.09794344027755E-08
0.0	1.2	1.53951341047951E-08
0.1	0.0	-9.22917448449680E-17
0.1	0.05	1.70281228801723E-10
0.1	0.1	2.13195719714889E-10
0.1	0.15	2.57639010689027E-10
0.1	0.2	3.12627121996010E-10
0.1	0.25	3.81392775876634E-10
0.1	0.3	4.68242455245435E-10
0.1	0.35	5.78995327022776E-10
0.1	0.4	7.21581747375248E-10
0.1	0.45	9.06793054011341E-10
0.1	0.5	1.14932763955903E-09
0.1	0.55	1.46925962523895E-09
0.1	0.6	1.89406226994979E-09
0.1	0.65	2.46099762000789E-09
0.1	0.7	3.22049973295012E-09
0.1	0.75	4.23948079235810E-09
0.1	0.8	5.61191221819035E-09
0.1	0.85	7.46599879792897E-09
0.1	0.9	9.97199747225027E-09
0.1	0.95	1.33606237871887E-08
0.1	1.0	1.79406379918505E-08
0.1	1.05	2.41232910298676E-08
0.1	1.1	3.24534404840201E-08
0.1	1.15	4.36485215422980E-08
0.1	1.2	5.86482159952893E-08
0.2	0.0	-5.22509363941592E-18
0.2	0.05	3.77538548507498E-09
0.2	0.1	4.62654572563751E-09
0.2	0.15	5.41197666224021E-09
0.2	0.2	6.32335884420761E-09
0.2	0.25	7.38947379758166E-09
0.2	0.3	8.64450145161354E-09
0.2	0.35	1.01314867091085E-08
0.2	0.4	1.19048389977127E-08
0.2	0.45	1.40333824483950E-08
0.2	0.5	1.66054289698860E-08
0.2	0.55	1.97343776049784E-08
0.2	0.6	2.35655855012103E-08
0.2	0.65	2.82861394457569E-08
0.2	0.7	3.41375207134872E-08
0.2	0.75	4.14301795020072E-08
0.2	0.8	5.05616576186558E-08
0.2	0.85	6.20462793954566E-08
0.2	0.9	7.65419916264380E-08
0.2	0.95	9.48887478267280E-08
0.2	1.0	1.18153229000717E-07
0.2	1.05	1.47678258864402E-07
0.2	1.1	1.85111133335796E-07
0.2	1.15	2.32568367189286E-07
0.2	1.2	2.92729872508830E-07
0.3	0.0	2.06922230094544E-16
0.3	0.05	8.88237113146432E-08
0.3	0.1	1.08248408256733E-07
0.3	0.15	1.24531725945771E-07
0.3	0.2	1.42516742002058E-07
0.3	0.25	1.62559967578090E-07
0.3	0.3	1.84992492314263E-07
0.3	0.35	2.10189997149365E-07
0.3	0.4	2.38588734762093E-07
0.3	0.45	2.70697784831403E-07
0.3	0.5	3.07118823105618E-07
0.3	0.55	3.48564510342476E-07
0.3	0.6	3.95881572616289E-07
0.3	0.65	4.50081620829170E-07
0.3	0.7	5.12371358210498E-07
0.3	0.75	5.84198553990579E-07
0.3	0.8	6.67288805581184E-07
0.3	0.85	7.63704548566793E-07
0.3	0.9	8.75897282146002E-07
0.3	0.95	1.00679437940464E-06
0.3	1.0	1.15985831530033E-06
0.3	1.05	1.33916463654507E-06
0.3	1.1	1.54950401657701E-06
0.3	1.15	1.79640774853417E-06
0.3	1.2	2.08630676114350E-06
0.4	0.0	4.61632107143617E-17
0.4	0.05	1.85609039569915E-06
0.4	0.1	2.28245352830736E-06
0.4	0.15	2.58327792977802E-06
0.4	0.2	2.89192488716950E-06
0.4	0.25	3.21590403186734E-06
0.4	0.3	3.55823368669266E-06
0.4	0.35	3.92135729194832E-06
0.4	0.4	4.30748879053876E-06
0.4	0.45	4.71881581626076E-06
0.4	0.5	5.15751497195039E-06
0.4	0.55	5.62591871730060E-06
0.4	0.6	6.12645649319027E-06
0.4	0.65	6.66179512575644E-06
0.4	0.7	7.23481010702999E-06
0.4	0.75	7.84866088933296E-06
0.4	0.8	8.50683332935100E-06
0.4	0.85	9.21314326252491E-06
0.4	0.9	9.97183667546120E-06
0.4	0.95	1.07875119720229E-05
0.4	1.0	1.16652832156779E-05
0.4	1.05	1.26106652469164E-05
0.4	1.1	1.36296894353960E-05
0.4	1.15	1.47288648365587E-05
0.4	1.2	1.59150599640863E-05
0.5	0.0	-1.35510784895166E-16
0.5	0.05	1.67287259252798E-05
0.5	0.1	2.23044834243862E-05
0.5	0.15	2.47467739384637E-05
0.5	0.2	2.67224849760447E-05
0.5	0.25	2.85944327695773E-05
0.5	0.3	3.04217957348388E-05
0.5	0.35	3.22314962301193E-05
0.5	0.4	3.40391464451359E-05
0.5	0.45	3.58555852397571E-05
0.5	0.5	3.76879564452578E-05
0.5	0.55	3.95420924685222E-05
0.5	0.6	4.14227103951231E-05
0.5	0.65	4.33339380462230E-05
0.5	0.7	4.52797005118932E-05
0.5	0.75	4.72635705174954E-05
0.5	0.8	4.92894734758101E-05
0.5	0.85	5.13610635962123E-05
0.5	0.9	5.34823624555056E-05
0.5	0.95	5.56577265075306E-05
0.5	1.0	5.78913515534488E-05
0.5	1.05	6.01883554971652E-05
0.5	1.1	6.25534891395818E-05
0.5	1.15	6.49921843587353E-05
0.5	1.2	6.75100308560596E-05
0.6	0.0	3.15903719631104E-17
0.6	0.05	4.65614138369292E-05
0.6	0.1	7.21139357612485E-05
0.6	0.15	8.41595062880204E-05
0.6	0.2	9.04397834755968E-05
0.6	0.25	9.50808473252788E-05
0.6	0.3	9.91686596646441E-05
0.6	0.35	1.02972367168851E-04
0.6	0.4	1.06606510668136E-04
0.6	0.45	1.10133533975241E-04
0.6	0.5	1.13589272559412E-04
0.6	0.55	1.16997304291692E-04
0.6	0.6	1.20373892578590E-04
0.6	0.65	1.23731300291245E-04
0.6	0.7	1.27079765776875E-04
0.6	0.75	1.30427198591897E-04
0.6	0.8	1.33780903203105E-04
0.6	0.85	1.37147296376789E-04
0.6	0.9	1.40532932392444E-04
0.6	0.95	1.43943192380470E-04
0.6	1.0	1.47385054247827E-04
0.6	1.05	1.50863303538198E-04
0.6	1.1	1.54384281836519E-04
0.6	1.15	1.57954574740040E-04
0.6	1.2	1.61579246596674E-04
0.7	0.0	4.31064659828070E-17
0.7	0.05	7.68383274970241E-05
0.7	0.1	1.29564683802076E-04
0.7	0.15	1.62360593694795E-04
