vg	vd	ids
0.0	0.0	-1.06709782503450E-16
0.0	0.05	2.58896491479194E-13
0.0	0.1	2.88823503280210E-13
0.0	0.15	3.02431183669069E-13
0.0	0.2	3.16335497179919E-13
0.0	0.25	3.30702054928950E-13
0.0	0.3	3.45556313060561E-13
0.0	0.35	3.60863647521522E-13
0.0	0.4	3.77219760537481E-13
0.0	0.45	3.93522234935123E-13
0.0	0.5	4.11090436009636E-13
0.0	0.55	4.28799096155305E-13
0.0	0.6	4.47813252357932E-13
0.0	0.65	4.66999014562174E-13
0.0	0.7	4.87589551979521E-13
0.0	0.75	5.08613637721328E-13
0.0	0.8	5.31130617127239E-13
0.0	0.85	5.54280368738756E-13
0.0	0.9	5.78342527362554E-13
0.0	0.95	6.03713198036868E-13
0.0	1.0	6.30104188466780E-13
0.0	1.05	6.57902381656137E-13
0.0	1.1	6.86549240220946E-13
0.0	1.15	7.17147220710138E-13
0.0	1.2	7.48717480891621E-13
0.1	0.0	3.89018397750845E-17
0.1	0.05	8.55578174191714E-12
0.1	0.1	9.58083671891503E-12
0.1	0.15	1.00558057307378E-11
0.1	0.2	1.05304840958106E-11
0.1	0.25	1.10195191453646E-11
0.1	0.3	1.15240370829400E-11
0.1	0.35	1.20448824366527E-11
0.1	0.4	1.25835676166066E-11
0.1	0.45	1.31409756985598E-11
0.1	0.5	1.37183304393665E-11
0.1	0.55	1.43171981980854E-11
0.1	0.6	1.49378667959303E-11
0.1	0.65	1.55847894612637E-11
0.1	0.7	1.62544687801783E-11
0.1	0.75	1.69515139821732E-11
0.1	0.8	1.76756870045029E-11
0.1	0.85	1.84295617680792E-11
0.1	0.9	1.92134576840997E-11
0.1	0.95	2.00298793315032E-11
0.1	1.0	2.08799294883979E-11
0.1	1.05	2.17651570082100E-11
0.1	1.1	2.26879354678999E-11
0.1	1.15	2.36487741623090E-11
0.1	1.2	2.46507322590370E-11
0.2	0.0	-3.12992572834196E-17
0.2	0.05	2.85288510395624E-10
0.2	0.1	3.21035706729788E-10
0.2	0.15	3.37585360685947E-10
0.2	0.2	3.53987176104826E-10
0.2	0.25	3.70791197821084E-10
0.2	0.3	3.88043073053784E-10
0.2	0.35	4.05784527365200E-10
0.2	0.4	4.24054168151443E-10
0.2	0.45	4.42890640337475E-10
0.2	0.5	4.62265400780311E-10
0.2	0.55	4.82359794664762E-10
0.2	0.6	5.03142835068828E-10
0.2	0.65	5.24622237496545E-10
0.2	0.7	5.46835910817818E-10
0.2	0.75	5.69865712431191E-10
0.2	0.8	5.93705523570990E-10
0.2	0.85	6.18426338507875E-10
0.2	0.9	6.44057802061864E-10
0.2	0.95	6.70635008688563E-10
0.2	1.0	6.98211054012092E-10
0.2	1.05	7.26828469562394E-10
0.2	1.1	7.56531515878619E-10
0.2	1.15	7.87367472256345E-10
0.2	1.2	8.19381397249447E-10
0.3	0.0	-2.47090041889901E-17
0.3	0.05	9.51391839723619E-09
0.3	0.1	1.07684078716947E-08
0.3	0.15	1.13483565224540E-08
0.3	0.2	1.19163139612721E-08
0.3	0.25	1.24942187679499E-08
0.3	0.3	1.30840104376562E-08
0.3	0.35	1.36873020695869E-08
0.3	0.4	1.43055259770500E-08
0.3	0.45	1.49399969761761E-08
0.3	0.5	1.55906047228909E-08
0.3	0.55	1.62608642524687E-08
0.3	0.6	1.69515675059763E-08
0.3	0.65	1.76635865422433E-08
