vg	vd	ids
0.0	0.0	8.16593872086636E-18
0.0	0.05	1.87653020012118E-12
0.0	0.1	2.38247571149355E-12
0.0	0.15	2.81018990890603E-12
0.0	0.2	3.31631419909674E-12
0.0	0.25	3.93017607554490E-12
0.0	0.3	4.68089184404770E-12
0.0	0.35	5.60686193549156E-12
0.0	0.4	6.75825926448743E-12
0.0	0.45	8.20194714941932E-12
0.0	0.5	1.00264293830139E-11
0.0	0.55	1.23493369687216E-11
0.0	0.6	1.53272074871921E-11
0.0	0.65	1.91694250653981E-11
0.0	0.7	2.41544672885898E-11
0.0	0.75	3.06548578046895E-11
0.0	0.8	3.91645361505051E-11
0.0	0.85	5.03370173389971E-11
0.0	0.9	6.50631532332614E-11
0.0	0.95	8.45276905982861E-11
0.0	1.0	1.10302267331134E-10
0.0	1.05	1.44480987125476E-10
0.0	1.1	1.89867801643333E-10
0.0	1.15	2.50183529757875E-10
0.0	1.2	3.30282749060540E-10
0.1	0.0	-2.58026443489076E-17
0.1	0.05	4.53518183574898E-11
0.1	0.1	5.65347460829355E-11
0.1	0.15	6.49908356938919E-11
0.1	0.2	7.44365067989066E-11
0.1	0.25	8.52882169328486E-11
0.1	0.3	9.78222434550595E-11
0.1	0.35	1.12375215097472E-10
0.1	0.4	1.29365540947400E-10
0.1	0.45	1.49316210311826E-10
0.1	0.5	1.72884162159575E-10
0.1	0.55	2.00896673406960E-10
0.1	0.6	2.34400990408493E-10
0.1	0.65	2.74726169665685E-10
0.1	0.7	3.23558701804886E-10
0.1	0.75	3.83052581914242E-10
0.1	0.8	4.55941948202323E-10
0.1	0.85	5.45757225362780E-10
0.1	0.9	6.56994938469407E-10
0.1	0.95	7.95409868322995E-10
0.1	1.0	9.68320969483799E-10
0.1	1.05	1.18542118988478E-09
0.1	1.1	1.45862044555243E-09
0.1	1.15	1.80331720987715E-09
0.1	1.2	2.23894311095867E-09
0.2	0.0	-1.91548645611871E-18
0.2	0.05	1.17680444032248E-09
0.2	0.1	1.45665475490985E-09
0.2	0.15	1.65311951364095E-09
0.2	0.2	1.86391626619209E-09
0.2	0.25	2.09765703724442E-09
0.2	0.3	2.35766788451409E-09
0.2	0.35	2.64774631131418E-09
0.2	0.4	2.97226972794355E-09
0.2	0.45	3.33645286237108E-09
0.2	0.5	3.74643536394736E-09
0.2	0.55	4.20957617443872E-09
0.2	0.6	4.73460441985109E-09
0.2	0.65	5.33197728735232E-09
0.2	0.7	6.01430762496017E-09
0.2	0.75	6.79689695372276E-09
0.2	0.8	7.69813482575804E-09
0.2	0.85	8.74038611986508E-09
0.2	0.9	9.95090807919230E-09
0.2	0.95	1.13630208028159E-08
0.2	1.0	1.30177133504396E-08
0.2	1.05	1.49634362890787E-08
0.2	1.1	1.72610907325541E-08
0.2	1.15	1.99850109431333E-08
0.2	1.2	2.32256169926882E-08
0.3	0.0	-2.00590275281588E-17
0.3	0.05	3.12030414691012E-08
0.3	0.1	3.86152434093376E-08
0.3	0.15	4.35362363771445E-08
0.3	0.2	4.86361719669308E-08
0.3	0.25	5.41366098146538E-08
0.3	0.3	6.00874083987665E-08
0.3	0.35	6.65361972549208E-08
0.3	0.4	7.35378034970188E-08
0.3	0.45	8.11501237622042E-08
0.3	0.5	8.94415533074903E-08
0.3	0.55	9.84806135945415E-08
0.3	0.6	1.08352215690922E-07
0.3	0.65	1.19150048026219E-07
0.3	0.7	1.30978756972863E-07
0.3	0.75	1.43960029217159E-07
0.3	0.8	1.58231252043318E-07
0.3	0.85	1.73950421291397E-07
0.3	0.9	1.91300181091339E-07
0.3	0.95	2.10486057017613E-07
0.3	1.0	2.31748691974102E-07
0.3	1.05	2.55365412962367E-07
0.3	1.1	2.81655104115879E-07
0.3	1.15	3.10987251924324E-07
0.3	1.2	3.43788800830265E-07
0.4	0.0	3.19442357545453E-17
0.4	0.05	7.47781305603415E-07
0.4	0.1	9.35198517659610E-07
0.4	0.15	1.04690062824665E-06
0.4	0.2	1.15568658458494E-06
0.4	0.25	1.26844073931221E-06
0.4	0.3	1.38601140885083E-06
0.4	0.35	1.50899165171564E-06
0.4	0.4	1.63784567058962E-06
0.4	0.45	1.77300061815684E-06
0.4	0.5	1.91487042396201E-06
0.4	0.55	2.06386140873292E-06
0.4	0.6	2.22043073312734E-06
0.4	0.65	2.38502917017789E-06
0.4	0.7	2.55813664196914E-06
0.4	0.75	2.74025811269209E-06
0.4	0.8	2.93194167657261E-06
0.4	0.85	3.13377019468991E-06
0.4	0.9	3.34636555859640E-06
0.4	0.95	3.57041801794814E-06
0.4	1.0	3.80665619165970E-06
0.4	1.05	4.05588414880838E-06
0.4	1.1	4.31896768401796E-06
0.4	1.15	4.59686311142737E-06
0.4	1.2	4.89058471791814E-06
0.5	0.0	-7.96191839207287E-18
0.5	0.05	8.06829656656257E-06
0.5	0.1	1.10000291976731E-05
0.5	0.15	1.22618903611550E-05
0.5	0.2	1.32001457768490E-05
0.5	0.25	1.40806765298003E-05
0.5	0.3	1.49417790595282E-05
0.5	0.35	1.57941072824563E-05
0.5	0.4	1.66432586610694E-05
0.5	0.45	1.74923990606799E-05
0.5	0.5	1.83443024016693E-05
0.5	0.55	1.92010378085100E-05
0.5	0.6	2.00642744029965E-05
0.5	0.65	2.09353857853594E-05
0.5	0.7	2.18156101272091E-05
0.5	0.75	2.27060164062228E-05
0.5	0.8	2.36076663020444E-05
0.5	0.85	2.45215576994553E-05
0.5	0.9	2.54486115853533E-05
0.5	0.95	2.63898546575977E-05
0.5	1.0	2.73462809074576E-05
0.5	1.05	2.83188114879019E-05
0.5	1.1	2.93085911724219E-05
0.5	1.15	3.03166652482200E-05
0.5	1.2	3.13441860633416E-05
0.6	0.0	1.33910257123830E-19
0.6	0.05	2.48755954869161E-05
0.6	0.1	3.95792981829065E-05
0.6	0.15	4.71695705593415E-05
0.6	0.2	5.11610848041285E-05
0.6	0.25	5.39176837126589E-05
0.6	0.3	5.63028348635832E-05
0.6	0.35	5.85244443545737E-05
0.6	0.4	6.06432104254019E-05
0.6	0.45	6.26887438191568E-05
0.6	0.5	6.46800954273053E-05
0.6	0.55	6.66305473287253E-05
0.6	0.6	6.85495764443940E-05
0.6	0.65	7.04438863629823E-05
0.6	0.7	7.23196150611828E-05
0.6	0.75	7.41808307052717E-05
0.6	0.8	7.60314369270405E-05
0.6	0.85	7.78747069289810E-05
0.6	0.9	7.97135008372526E-05
0.6	0.95	8.15501745150435E-05
0.6	1.0	8.33874645859573E-05
0.6	1.05	8.52271616232512E-05
0.6	1.1	8.70714813793931E-05
0.6	1.15	8.89222874011157E-05
0.6	1.2	9.07818322066569E-05
0.7	0.0	-8.84155639096831E-18
0.7	0.05	4.32934168550143E-05
0.7	0.1	7.48754771927674E-05
0.7	0.15	9.61619555599850E-05
0.7	0.2	1.09380584095486E-04
0.7	0.25	1.17351653745676E-04
0.7	0.3	1.22708717247277E-04
0.7	0.35	1.27006884526274E-04
0.7	0.4	1.30828376530017E-04
0.7	0.45	1.34364399868035E-04
0.7	0.5	1.37701492545888E-04
0.7	0.55	1.40892498555210E-04
0.7	0.6	1.43971665277084E-04
0.7	0.65	1.46962908202339E-04
0.7	0.7	1.49883635427240E-04
0.7	0.75	1.52745778220673E-04
0.7	0.8	1.55560266540873E-04
0.7	0.85	1.58334756503633E-04
0.7	0.9	1.61076300471811E-04
0.7	0.95	1.63790087144327E-04
0.7	1.0	1.66481539186744E-04
0.7	1.05	1.69154624690482E-04
0.7	1.1	1.71813723632795E-04
0.7	1.15	1.74462136958355E-04
0.7	1.2	1.77103128398445E-04
0.8	0.0	2.35374638397022E-17
0.8	0.05	6.04434267280814E-05
0.8	0.1	1.08914029643199E-04
0.8	0.15	1.46082948862468E-04
0.8	0.2	1.73153375763129E-04
0.8	0.25	1.91822158430606E-04
0.8	0.3	2.04261313422227E-04
0.8	0.35	2.12828163140586E-04
0.8	0.4	2.19404262287256E-04
0.8	0.45	2.24995483136752E-04
0.8	0.5	2.30019838231614E-04
0.8	0.55	2.34664619671861E-04
0.8	0.6	2.39036485980653E-04
0.8	0.65	2.43206019711861E-04
0.8	0.7	2.47217889893112E-04
0.8	0.75	2.51104236601921E-04
0.8	0.8	2.54887813160872E-04
0.8	0.85	2.58586202775560E-04
0.8	0.9	2.62212844625356E-04
0.8	0.95	2.65778269074020E-04
0.8	1.0	2.69292832355888E-04
0.8	1.05	2.72763109158061E-04
0.8	1.1	2.76195646148428E-04
0.8	1.15	2.79597669980625E-04
0.8	1.2	2.82975092994868E-04
0.9	0.0	5.93858977226019E-17
0.9	0.05	7.57799865889895E-05
0.9	0.1	1.39791940683759E-04
0.9	0.15	1.92327736435873E-04
0.9	0.2	2.34084034295381E-04
0.9	0.25	2.66070952926697E-04
0.9	0.3	2.89634356828329E-04
0.9	0.35	3.06479393547742E-04
0.9	0.4	3.18565194953673E-04
0.9	0.45	3.27737932382731E-04
0.9	0.5	3.35286662371527E-04
0.9	0.55	3.41880236921699E-04
0.9	0.6	3.47850751403967E-04
0.9	0.65	3.53387137545232E-04
0.9	0.7	3.58606811117602E-04
0.9	0.75	3.63587364316695E-04
0.9	0.8	3.68380556994876E-04
0.9	0.85	3.73022812167323E-04
0.9	0.9	3.77541879044650E-04
0.9	0.95	3.81954258296297E-04
0.9	1.0	3.86278327984506E-04
0.9	1.05	3.90529461690065E-04
0.9	1.1	3.94712509672054E-04
0.9	1.15	3.98841737508989E-04
0.9	1.2	4.02924358553101E-04
1.0	0.0	-8.08550127247623E-18
1.0	0.05	8.92756573944970E-05
1.0	0.1	1.67188948764925E-04
1.0	0.15	2.33813439531959E-04
1.0	0.2	2.89565741212759E-04
1.0	0.25	3.35082833070748E-04
1.0	0.3	3.71217474316064E-04
1.0	0.35	3.99068508286495E-04
1.0	0.4	4.20005964684654E-04
1.0	0.45	4.35637087175574E-04
1.0	0.5	4.47611094701713E-04
1.0	0.55	4.57294699247736E-04
1.0	0.6	4.65567899881803E-04
1.0	0.65	4.72913683150151E-04
1.0	0.7	4.79619433971667E-04
1.0	0.75	4.85867361059550E-04
1.0	0.8	4.91780790809647E-04
1.0	0.85	4.97435559263128E-04
1.0	0.9	5.02888707668187E-04
1.0	0.95	5.08173086006088E-04
1.0	1.0	5.13321159081700E-04
1.0	1.05	5.18353424924597E-04
1.0	1.1	5.23284584324333E-04
1.0	1.15	5.28133170293203E-04
1.0	1.2	5.32908063357017E-04
1.1	0.0	1.76730749903036E-18
1.1	0.05	1.01062650815950E-04
1.1	0.1	1.91246985533403E-04
1.1	0.15	2.70497470303451E-04
1.1	0.2	3.39065752284976E-04
1.1	0.25	3.97371427521168E-04
1.1	0.3	4.45980042207762E-04
1.1	0.35	4.85618730739169E-04
1.1	0.4	5.17198362379893E-04
1.1	0.45	5.41841990244479E-04
1.1	0.5	5.60872325841749E-04
1.1	0.55	5.75711141208809E-04
1.1	0.6	5.87670203298362E-04
1.1	0.65	5.97730707372769E-04
1.1	0.7	6.06526345650288E-04
1.1	0.75	6.14438251895761E-04
1.1	0.8	6.21722958458152E-04
1.1	0.85	6.28550682284933E-04
1.1	0.9	6.35042031920260E-04
1.1	0.95	6.41267483971141E-04
1.1	1.0	6.47285900263269E-04
1.1	1.05	6.53128279981888E-04
1.1	1.1	6.58826443546541E-04
1.1	1.15	6.64401964209214E-04
1.1	1.2	6.69873996395974E-04
1.2	0.0	-2.65610512463052E-17
1.2	0.05	1.11328022278223E-04
1.2	0.1	2.12274351840486E-04
1.2	0.15	3.02709304915791E-04
1.2	0.2	3.82787307867665E-04
1.2	0.25	4.52797824170016E-04
1.2	0.3	5.13133420681758E-04
1.2	0.35	5.64295800892652E-04
1.2	0.4	6.06905147247648E-04
1.2	0.45	6.41727442751707E-04
1.2	0.5	6.69693233718245E-04
1.2	0.55	6.91898057225156E-04
1.2	0.6	7.09556972185625E-04
1.2	0.65	7.23862796684307E-04
1.2	0.7	7.35812244969761E-04
1.2	0.75	7.46134086672536E-04
1.2	0.8	7.55307967136938E-04
1.2	0.85	7.63658995540087E-04
1.2	0.9	7.71413852090660E-04
1.2	0.95	7.78730519884760E-04
1.2	1.0	7.85715113322410E-04
1.2	1.05	7.92439009384331E-04
1.2	1.1	7.98950555504859E-04
1.2	1.15	8.05286647570733E-04
1.2	1.2	8.11478401068956E-04
