vg	vd	ids
0.0	0.0	5.11454847419731E-17
0.0	0.05	1.72569586471283E-12
0.0	0.1	2.00285681117312E-12
0.0	0.15	2.23869769459636E-12
0.0	0.2	2.50407570482689E-12
0.0	0.25	2.80424533510119E-12
0.0	0.3	3.14541732625042E-12
0.0	0.35	3.53543088468348E-12
0.0	0.4	3.98328685540645E-12
0.0	0.45	4.50080904919303E-12
0.0	0.5	5.10226650593733E-12
0.0	0.55	5.80649778467336E-12
0.0	0.6	6.63702826727107E-12
0.0	0.65	7.62262704136438E-12
0.0	0.7	8.80156373388786E-12
0.0	0.75	1.02239589013236E-11
0.0	0.8	1.19508334140318E-11
0.0	0.85	1.40648364192123E-11
0.0	0.9	1.66721355130995E-11
0.0	0.95	1.99107398852918E-11
0.0	1.0	2.39611872881358E-11
0.0	1.05	2.90595302725282E-11
0.0	1.1	3.55137939730573E-11
0.0	1.15	4.37282115046829E-11
0.0	1.2	5.42292037929081E-11
0.1	0.0	-1.53666657889818E-17
0.1	0.05	4.94462286529926E-11
0.1	0.1	5.71198727138771E-11
0.1	0.15	6.31842323545871E-11
0.1	0.2	6.98341646228072E-11
0.1	0.25	7.71609173099807E-11
0.1	0.3	8.52545221030292E-11
0.1	0.35	9.42193489025184E-11
0.1	0.4	1.04176705804369E-10
0.1	0.45	1.15269844183240E-10
0.1	0.5	1.27667236473701E-10
0.1	0.55	1.41569456753366E-10
0.1	0.6	1.57215291885868E-10
0.1	0.65	1.74892634965468E-10
0.1	0.7	1.94950884135539E-10
0.1	0.75	2.17812586922584E-10
0.1	0.8	2.43996524305673E-10
0.1	0.85	2.74138037221607E-10
0.1	0.9	3.09020724643208E-10
0.1	0.95	3.49608078118876E-10
0.1	1.0	3.97109374333310E-10
0.1	1.05	4.53021313207392E-10
0.1	1.1	5.19201122375035E-10
0.1	1.15	5.97997915585101E-10
0.1	1.2	6.92354398525770E-10
0.2	0.0	-6.23572344285896E-17
0.2	0.05	1.46130283270614E-09
0.2	0.1	1.68739893167347E-09
0.2	0.15	1.85579851917208E-09
0.2	0.2	2.03689650871848E-09
0.2	0.25	2.23279560193637E-09
0.2	0.3	2.44515531397093E-09
0.2	0.35	2.67576150874214E-09
0.2	0.4	2.92658575595235E-09
0.2	0.45	3.19983179977182E-09
0.2	0.5	3.49799625554940E-09
0.2	0.55	3.82389331700062E-09
0.2	0.6	4.18071347801305E-09
0.2	0.65	4.57211234997062E-09
0.2	0.7	5.00228331413083E-09
0.2	0.75	5.47604940243019E-09
0.2	0.8	5.99901551237601E-09
0.2	0.85	6.57764011148053E-09
0.2	0.9	7.21955388952791E-09
0.2	0.95	7.93362350509511E-09
