vg	vd	ids
0.0	0.0	-6.22915151672270E-18
0.0	0.05	4.81090314300745E-14
0.0	0.1	5.36759142593571E-14
0.0	0.15	5.56130675431206E-14
0.0	0.2	5.74974567222135E-14
0.0	0.25	5.93982793098075E-14
0.0	0.3	6.13299686949647E-14
0.0	0.35	6.33255834478743E-14
0.0	0.4	6.53507583302229E-14
0.0	0.45	6.74388184592374E-14
0.0	0.5	6.95389337665368E-14
0.0	0.55	7.17445604612055E-14
0.0	0.6	7.39799223731819E-14
0.0	0.65	7.62746067660239E-14
0.0	0.7	7.86601734692829E-14
0.0	0.75	8.10998152750345E-14
0.0	0.8	8.36161332479299E-14
0.0	0.85	8.62051769853464E-14
0.0	0.9	8.88848814032719E-14
0.0	0.95	9.16179913716984E-14
0.0	1.0	9.44418198312195E-14
0.0	1.05	9.73748829848585E-14
0.0	1.1	1.00367573064260E-13
0.0	1.15	1.03490024205165E-13
0.0	1.2	1.06694596348538E-13
0.1	0.0	-1.15792594733853E-17
0.1	0.05	1.47624974922782E-12
0.1	0.1	1.65363741783982E-12
0.1	0.15	1.71851743365099E-12
0.1	0.2	1.78003349439057E-12
0.1	0.25	1.84263601735986E-12
0.1	0.3	1.90644395580056E-12
0.1	0.35	1.97163421480727E-12
0.1	0.4	2.03827537026589E-12
0.1	0.45	2.10649730115014E-12
0.1	0.5	2.17632408798944E-12
0.1	0.55	2.24788795047552E-12
0.1	0.6	2.32166216512458E-12
0.1	0.65	2.39722785725943E-12
0.1	0.7	2.47434759839301E-12
0.1	0.75	2.55460444922927E-12
0.1	0.8	2.63683094215297E-12
0.1	0.85	2.72121910922474E-12
0.1	0.9	2.80832210064077E-12
0.1	0.95	2.89779067765759E-12
0.1	1.0	2.98998577456504E-12
0.1	1.05	3.08527993488958E-12
0.1	1.1	3.18315754950046E-12
0.1	1.15	3.28435078436695E-12
0.1	1.2	3.38847995963111E-12
0.2	0.0	2.00429960752519E-18
0.2	0.05	4.62410921021170E-11
0.2	0.1	5.20422379513241E-11
0.2	0.15	5.42293701507414E-11
0.2	0.2	5.62935518465682E-11
0.2	0.25	5.83871353080873E-11
0.2	0.3	6.05167053957743E-11
0.2	0.35	6.26868402832865E-11
0.2	0.4	6.49017826709667E-11
0.2	0.45	6.71653582811104E-11
0.2	0.5	6.94812876058459E-11
0.2	0.55	7.18531334679979E-11
0.2	0.6	7.42841944056567E-11
0.2	0.65	7.67611544519443E-11
0.2	0.7	7.93311028030709E-11
0.2	0.75	8.19658674887225E-11
0.2	0.8	8.46666822233955E-11
0.2	0.85	8.74391674679771E-11
0.2	0.9	9.02980706796902E-11
0.2	0.95	9.32351482774801E-11
0.2	1.0	9.62575941722540E-11
0.2	1.05	9.93667239909942E-11
0.2	1.1	1.02572027864708E-10
0.2	1.15	1.05870965061313E-10
0.2	1.2	1.09269093020228E-10
0.3	0.0	-2.64740643115619E-18
0.3	0.05	1.46397601868908E-09
0.3	0.1	1.65630768341251E-09
0.3	0.15	1.73080512108043E-09
0.3	0.2	1.80058905554234E-09
0.3	0.25	1.87103088810297E-09
0.3	0.3	1.94241136261035E-09
0.3	0.35	2.01491826397758E-09
