vg	vd	ids
0.0	0.0	6.09821925434740E-17
0.0	0.05	6.23729765267571E-13
0.0	0.1	7.11368700445824E-13
0.0	0.15	7.72921235546565E-13
0.0	0.2	8.38445152927209E-13
0.0	0.25	9.09708718885713E-13
0.0	0.3	9.86287469775819E-13
0.0	0.35	1.06891205529256E-12
0.0	0.4	1.15891460258912E-12
0.0	0.45	1.25578465005058E-12
0.0	0.5	1.36101975993074E-12
0.0	0.55	1.47596871194285E-12
0.0	0.6	1.60047536968920E-12
0.0	0.65	1.73687867316394E-12
0.0	0.7	1.88589704471008E-12
0.0	0.75	2.04822699562870E-12
0.0	0.8	2.22704294829106E-12
0.0	0.85	2.42357294304619E-12
0.0	0.9	2.63998856455550E-12
0.0	0.95	2.87851404739221E-12
0.0	1.0	3.14376151733140E-12
0.0	1.05	3.43734937152214E-12
0.0	1.1	3.76511484644838E-12
0.0	1.15	4.13095533897318E-12
0.0	1.2	4.54100478548145E-12
0.1	0.0	-4.88997032997061E-17
0.1	0.05	1.89296158217342E-11
0.1	0.1	2.16263930733931E-11
0.1	0.15	2.34519515343882E-11
0.1	0.2	2.53834086348594E-11
0.1	0.25	2.74432469945483E-11
0.1	0.3	2.96423238785011E-11
0.1	0.35	3.19931844760017E-11
0.1	0.4	3.45082656568529E-11
0.1	0.45	3.72021215411173E-11
0.1	0.5	4.00866766765640E-11
0.1	0.55	4.31818730870944E-11
0.1	0.6	4.65141644822962E-11
0.1	0.65	5.00940113383823E-11
0.1	0.7	5.39459585925491E-11
0.1	0.75	5.80930018058287E-11
0.1	0.8	6.25718237723486E-11
0.1	0.85	6.73965689563173E-11
0.1	0.9	7.26283238463794E-11
0.1	0.95	7.82763953004773E-11
0.1	1.0	8.44020322813048E-11
0.1	1.05	9.10586440515534E-11
0.1	1.1	9.83165417316438E-11
0.1	1.15	1.06193959935871E-10
0.1	1.2	1.14785344901249E-10
0.2	0.0	1.30350368751493E-18
0.2	0.05	5.79944473309344E-10
0.2	0.1	6.64989810458598E-10
0.2	0.15	7.20671185740854E-10
0.2	0.2	7.78893752743093E-10
0.2	0.25	8.40398688738684E-10
0.2	0.3	9.05461937615736E-10
0.2	0.35	9.74367798050617E-10
0.2	0.4	1.04741771717640E-09
0.2	0.45	1.12492628459274E-09
0.2	0.5	1.20722907577804E-09
0.2	0.55	1.29456977005689E-09
0.2	0.6	1.38733946052092E-09
0.2	0.65	1.48637365424452E-09
0.2	0.7	1.59173013510996E-09
0.2	0.75	1.70375097435964E-09
0.2	0.8	1.82355647251515E-09
0.2	0.85	1.95117473036007E-09
0.2	0.9	2.08730059364997E-09
0.2	0.95	2.23314307604467E-09
0.2	1.0	2.38860217451992E-09
0.2	1.05	2.55483684325555E-09
0.2	1.1	2.73277031905630E-09
0.2	1.15	2.92331847407847E-09
0.2	1.2	3.12755788788033E-09
0.3	0.0	1.66290506297225E-17
0.3	0.05	1.77137753424673E-08
0.3	0.1	2.04250718251236E-08
0.3	0.15	2.21443548278540E-08
0.3	0.2	2.39167589787023E-08
0.3	0.25	2.57696644440685E-08
0.3	0.3	2.77107974669105E-08
0.3	0.35	2.97475352396191E-08
0.3	0.4	3.18871997625442E-08
0.3	0.45	3.41371562574128E-08
0.3	0.5	3.65049893365586E-08
0.3	0.55	3.89985236518991E-08
0.3	0.6	4.16170661433350E-08
0.3	0.65	4.43850649572103E-08
0.3	0.7	4.73108522963303E-08
0.3	0.75	5.03955795908393E-08
0.3	0.8	5.36495963827693E-08
0.3	0.85	5.70860976769840E-08
0.3	0.9	6.07174659490823E-08
0.3	0.95	6.45513023627666E-08
0.3	1.0	6.86031780721860E-08
0.3	1.05	7.28867638780019E-08
0.3	1.1	7.74166339258969E-08
