vg	vd	ids
0.0	0.0	-2.04396506433227E-18
0.0	0.05	5.68797913149943E-13
0.0	0.1	6.51185820069903E-13
0.0	0.15	7.09822479287715E-13
0.0	0.2	7.73058661006632E-13
0.0	0.25	8.41756312867032E-13
0.0	0.3	9.16252385845051E-13
0.0	0.35	9.97544074445409E-13
0.0	0.4	1.08585286883650E-12
0.0	0.45	1.18226137403955E-12
0.0	0.5	1.28775737056107E-12
0.0	0.55	1.40307750112566E-12
0.0	0.6	1.52939235034422E-12
0.0	0.65	1.66813883920918E-12
0.0	0.7	1.82078585417851E-12
0.0	0.75	1.98895967676336E-12
0.0	0.8	2.17457062646993E-12
0.0	0.85	2.38023158289352E-12
0.0	0.9	2.60825938601874E-12
0.0	0.95	2.86200440141195E-12
0.0	1.0	3.14526031466747E-12
0.0	1.05	3.46215565580494E-12
0.0	1.1	3.81798742100973E-12
0.0	1.15	4.21909611769591E-12
0.0	1.2	4.67241914772201E-12
0.1	0.0	-5.08068795121593E-17
0.1	0.05	1.71052246768446E-11
0.1	0.1	1.96138813179474E-11
0.1	0.15	2.13301122935644E-11
0.1	0.2	2.31580954651277E-11
0.1	0.25	2.51214505178232E-11
0.1	0.3	2.72325819953928E-11
0.1	0.35	2.95051802830066E-11
0.1	0.4	3.19534706787077E-11
0.1	0.45	3.45935982879646E-11
0.1	0.5	3.74403948318303E-11
0.1	0.55	4.05190579481973E-11
0.1	0.6	4.38463096463241E-11
0.1	0.65	4.74447996333250E-11
0.1	0.7	5.13428961645017E-11
0.1	0.75	5.55697945383554E-11
0.1	0.8	6.01546429606868E-11
0.1	0.85	6.51350419394640E-11
0.1	0.9	7.05520143085245E-11
0.1	0.95	7.64511643361775E-11
0.1	1.0	8.28840893522673E-11
0.1	1.05	8.99099986754988E-11
0.1	1.1	9.75948636325747E-11
0.1	1.15	1.06015345669223E-10
0.1	1.2	1.15258829470335E-10
0.2	0.0	-5.49349185299773E-17
0.2	0.05	5.20323762455309E-10
0.2	0.1	5.98439948913847E-10
0.2	0.15	6.50115891907056E-10
0.2	0.2	7.04492317145721E-10
0.2	0.25	7.62350235270974E-10
0.2	0.3	8.24002740658338E-10
0.2	0.35	8.89773131582846E-10
0.2	0.4	9.59998836020247E-10
0.2	0.45	1.03503660204433E-09
