vg	vd	ids
0.0	0.0	-4.01706965735906E-17
0.0	0.05	1.03954451053952E-13
0.0	0.1	1.19951045538738E-13
0.0	0.15	1.26069773522580E-13
0.0	0.2	1.31720252428144E-13
0.0	0.25	1.37480159744408E-13
0.0	0.3	1.43384219837865E-13
0.0	0.35	1.49665067207591E-13
0.0	0.4	1.56000830502813E-13
0.0	0.45	1.62613123782563E-13
0.0	0.5	1.69538931095338E-13
0.0	0.55	1.76658858633765E-13
0.0	0.6	1.84259320155251E-13
0.0	0.65	1.92234946765433E-13
0.0	0.7	2.00347829511541E-13
0.0	0.75	2.08983332799534E-13
0.0	0.8	2.17812922874672E-13
0.0	0.85	2.27068021970570E-13
0.0	0.9	2.36748235357842E-13
0.0	0.95	2.46918231398937E-13
0.0	1.0	2.57535072481732E-13
0.0	1.05	2.68617697054167E-13
0.0	1.1	2.80204755560924E-13
0.0	1.15	2.92203143796698E-13
0.0	1.2	3.04916599891697E-13
0.1	0.0	-8.20031239892870E-17
0.1	0.05	3.46876904270545E-12
0.1	0.1	4.01714317735330E-12
0.1	0.15	4.22937484165430E-12
0.1	0.2	4.42089534246728E-12
0.1	0.25	4.61776007100802E-12
0.1	0.3	4.82147633992121E-12
0.1	0.35	5.03194463191606E-12
0.1	0.4	5.24991910976520E-12
0.1	0.45	5.47604333534770E-12
0.1	0.5	5.71159932381870E-12
0.1	0.55	5.95607119682465E-12
0.1	0.6	6.20953051648572E-12
0.1	0.65	6.47270193905376E-12
0.1	0.7	6.74667877104786E-12
0.1	0.75	7.03143990424766E-12
0.1	0.8	7.32729509897985E-12
0.1	0.85	7.63512976411942E-12
0.1	0.9	7.95551600463106E-12
0.1	0.95	8.28880326604454E-12
0.1	1.0	8.63582247169270E-12
0.1	1.05	8.99686562761188E-12
0.1	1.1	9.37301710907640E-12
0.1	1.15	9.76444338918548E-12
0.1	1.2	1.01723374149844E-11
0.2	0.0	5.80606232196999E-17
0.2	0.05	1.17266313672281E-10
0.2	0.1	1.36236036213950E-10
0.2	0.15	1.43671154853314E-10
0.2	0.2	1.50339612165570E-10
0.2	0.25	1.57163952570056E-10
0.2	0.3	1.64189989690774E-10
0.2	0.35	1.71424324758975E-10
0.2	0.4	1.78952635009380E-10
0.2	0.45	1.86668577091088E-10
0.2	0.5	1.94692155936801E-10
0.2	0.55	2.03002969056926E-10
0.2	0.6	2.11614996021197E-10
0.2	0.65	2.20526017444299E-10
0.2	0.7	2.29753577956946E-10
0.2	0.75	2.39321798007980E-10
0.2	0.8	2.49244433717168E-10
0.2	0.85	2.59533817456542E-10
0.2	0.9	2.70206114455798E-10
0.2	0.95	2.81278011049573E-10
0.2	1.0	2.92766092483323E-10
0.2	1.05	3.04688069906593E-10
0.2	1.1	3.17061401604868E-10
0.2	1.15	3.29904975145611E-10
0.2	1.2	3.43238064124819E-10
0.3	0.0	1.95053293585847E-17
0.3	0.05	3.97866967231130E-09
0.3	0.1	4.64006945651009E-09
0.3	0.15	4.90242981510197E-09
0.3	0.2	5.13547637115845E-09
0.3	0.25	5.37232844158888E-09
0.3	0.3	5.61471073522282E-09
0.3	0.35	5.86401703007511E-09
0.3	0.4	6.12118789834000E-09
0.3	0.45	6.38637806503992E-09
0.3	0.5	6.65946465114658E-09
0.3	0.55	6.94110220588888E-09
0.3	0.6	7.23184059845665E-09
0.3	0.65	7.53211769156826E-09
0.3	0.7	7.84234012093144E-09
0.3	0.75	8.16292118022975E-09
0.3	0.8	8.49429570749460E-09
0.3	0.85	8.83690508804088E-09
0.3	0.9	9.19119374290811E-09
0.3	0.95	9.55761258706575E-09
0.3	1.0	9.93662341377934E-09
0.3	1.05	1.03286973442255E-08
0.3	1.1	1.07343207085804E-08
0.3	1.15	1.11539950294926E-08
0.3	1.2	1.15882332897671E-08
0.4	0.0	-3.20413479173891E-17
0.4	0.05	1.30180187039185E-07
0.4	0.1	1.53088672084321E-07
0.4	0.15	1.62106146691743E-07
0.4	0.2	1.69892606417620E-07
0.4	0.25	1.77681033637736E-07
0.4	0.3	1.85593973178457E-07
0.4	0.35	1.93690932762441E-07
0.4	0.4	2.01953929187634E-07
0.4	0.45	2.10410602676263E-07
0.4	0.5	2.19077184834346E-07
0.4	0.55	2.27968760002558E-07
0.4	0.6	2.37097256502822E-07
0.4	0.65	2.46474155537218E-07
0.4	0.7	2.56110343909016E-07
0.4	0.75	2.66016281658692E-07
0.4	0.8	2.76202053276351E-07
0.4	0.85	2.86677682936210E-07
0.4	0.9	2.97452958908278E-07
0.4	0.95	3.08537662913573E-07
0.4	1.0	3.19941611509030E-07
0.4	1.05	3.31674516587609E-07
0.4	1.1	3.43746280552483E-07
0.4	1.15	3.56166845468935E-07
0.4	1.2	3.68946196982479E-07
0.5	0.0	-7.87849382843890E-18
0.5	0.05	2.65141403953861E-06
0.5	0.1	3.31489225335420E-06
0.5	0.15	3.52967685681217E-06
0.5	0.2	3.67856914425838E-06
0.5	0.25	3.81807868044622E-06
0.5	0.3	3.95515516704290E-06
0.5	0.35	4.09145523198168E-06
0.5	0.4	4.22780547986705E-06
0.5	0.45	4.36466496550354E-06
0.5	0.5	4.50239634623967E-06
0.5	0.55	4.64124041103515E-06
0.5	0.6	4.78137692384275E-06
0.5	0.65	4.92295197384730E-06
0.5	0.7	5.06607483641573E-06
0.5	0.75	5.21084690831322E-06
0.5	0.8	5.35734077840122E-06
0.5	0.85	5.50563037284649E-06
0.5	0.9	5.65577403636308E-06
0.5	0.95	5.80782091391601E-06
0.5	1.0	5.96182442194971E-06
0.5	1.05	6.11781999444471E-06
0.5	1.1	6.27584837660449E-06
0.5	1.15	6.43594677920641E-06
0.5	1.2	6.59814146115119E-06
0.6	0.0	2.20259015547143E-17
0.6	0.05	1.28679519949276E-05
0.6	0.1	1.94567282712230E-05
0.6	0.15	2.21878822019950E-05
0.6	0.2	2.33422196085994E-05
0.6	0.25	2.40731298936336E-05
0.6	0.3	2.47011519883163E-05
0.6	0.35	2.52917278430846E-05
0.6	0.4	2.58621061982808E-05
0.6	0.45	2.64200119527560E-05
0.6	0.5	2.69695139788217E-05
0.6	0.55	2.75130414143878E-05
0.6	0.6	2.80522139687526E-05
0.6	0.65	2.85881776375118E-05
0.6	0.7	2.91218208327767E-05
0.6	0.75	2.96537612688656E-05
0.6	0.8	3.01845947059215E-05
0.6	0.85	3.07146738440845E-05
0.6	0.9	3.12444113016085E-05
0.6	0.95	3.17740637005818E-05
0.6	1.0	3.23038940596422E-05
0.6	1.05	3.28341170556351E-05
0.6	1.1	3.33649206444365E-05
0.6	1.15	3.38964601697630E-05
0.6	1.2	3.44288656095851E-05
0.7	0.0	4.43378438684358E-17
0.7	0.05	2.60806772927161E-05
0.7	0.1	4.43173365118790E-05
0.7	0.15	5.57900622423043E-05
0.7	0.2	6.21727115423822E-05
0.7	0.25	6.54838670988638E-05
0.7	0.3	6.74254231538387E-05
0.7	0.35	6.88885186981041E-05
0.7	0.4	7.01748192204931E-05
0.7	0.45	7.13768885771920E-05
0.7	0.5	7.25297723219176E-05
0.7	0.55	7.36494589109586E-05
0.7	0.6	7.47444872554802E-05
0.7	0.65	7.58202526841663E-05
0.7	0.7	7.68803144620734E-05
0.7	0.75	7.79272762171435E-05
0.7	0.8	7.89631814218482E-05
0.7	0.85	7.99894047653939E-05
0.7	0.9	8.10074289853147E-05
0.7	0.95	8.20180484399454E-05
0.7	1.0	8.30222260810741E-05
0.7	1.05	8.40206857623963E-05
0.7	1.1	8.50139888518387E-05
0.7	1.15	8.60026875088871E-05
0.7	1.2	8.69872822311494E-05
0.8	0.0	5.00214890486587E-17
0.8	0.05	3.89170596003167E-05
0.8	0.1	6.96716869541843E-05
0.8	0.15	9.27270196160551E-05
0.8	0.2	1.08912658410808E-04
0.8	0.25	1.19429307286673E-04
0.8	0.3	1.25821653692796E-04
0.8	0.35	1.29733908816673E-04
0.8	0.4	1.32449559211643E-04
0.8	0.45	1.34652341029314E-04
0.8	0.5	1.36620015573201E-04
0.8	0.55	1.38462765254992E-04
0.8	0.6	1.40227156121938E-04
0.8	0.65	1.41935809643650E-04
0.8	0.7	1.43601412001137E-04
0.8	0.75	1.45232007291131E-04
0.8	0.8	1.46833376850117E-04
0.8	0.85	1.48409703319418E-04
0.8	0.9	1.49964127630342E-04
0.8	0.95	1.51499142448133E-04
0.8	1.0	1.53017032616355E-04
0.8	1.05	1.54519011958903E-04
0.8	1.1	1.56006894220832E-04
0.8	1.15	1.57481915065113E-04
0.8	1.2	1.58944832632840E-04
0.9	0.0	-7.26864559615845E-17
0.9	0.05	5.06436673566520E-05
0.9	0.1	9.32238802808987E-05
0.9	0.15	1.27912572297313E-04
0.9	0.2	1.55137365558757E-04
0.9	0.25	1.75551795486227E-04
0.9	0.3	1.90064056656710E-04
0.9	0.35	1.99854279305439E-04
0.9	0.4	2.06301182438373E-04
0.9	0.45	2.10734890893066E-04
0.9	0.5	2.14124933713136E-04
0.9	0.55	2.17004184543438E-04
0.9	0.6	2.19619033421688E-04
0.9	0.65	2.22079874601796E-04
0.9	0.7	2.24437128402042E-04
0.9	0.75	2.26716958294297E-04
0.9	0.8	2.28936022830448E-04
0.9	0.85	2.31104341462901E-04
0.9	0.9	2.33229968257892E-04
0.9	0.95	2.35317949054249E-04
0.9	1.0	2.37372855705967E-04
0.9	1.05	2.39398500225071E-04
0.9	1.1	2.41397399125754E-04
0.9	1.15	2.43371901871824E-04
0.9	1.2	2.45324261010450E-04
1.0	0.0	-1.05544653716504E-17
1.0	0.05	6.11070404054671E-05
1.0	0.1	1.14426071396069E-04
1.0	0.15	1.59969630018801E-04
1.0	0.2	1.97955266999979E-04
1.0	0.25	2.28749674724458E-04
1.0	0.3	2.52878138877246E-04
1.0	0.35	2.71051779109108E-04
1.0	0.4	2.84192521433034E-04
1.0	0.45	2.93419381851938E-04
1.0	0.5	2.99935519362870E-04
1.0	0.55	3.04805273306811E-04
1.0	0.6	3.08772332980145E-04
1.0	0.65	3.12258353600626E-04
1.0	0.7	3.15470441124812E-04
1.0	0.75	3.18507842510874E-04
