vg	vd	ids
0.0	0.0	-7.01530330549859E-17
0.0	0.05	2.49521929303192E-12
0.0	0.1	3.08841070325729E-12
0.0	0.15	3.63179777680572E-12
0.0	0.2	4.27968020077227E-12
0.0	0.25	5.06082087985031E-12
0.0	0.3	6.00982593713760E-12
0.0	0.35	7.17271948979787E-12
0.0	0.4	8.60894860577448E-12
0.0	0.45	1.03974517134176E-11
0.0	0.5	1.26432827438050E-11
0.0	0.55	1.54842658787398E-11
0.0	0.6	1.91075031896854E-11
0.0	0.65	2.37584430162820E-11
0.0	0.7	2.97677384678120E-11
0.0	0.75	3.75773716053609E-11
0.0	0.8	4.77782435286976E-11
0.0	0.85	6.11530822000103E-11
0.0	0.9	7.87282339434586E-11
0.0	0.95	1.01975218393459E-10
0.0	1.0	1.32723418386821E-10
0.0	1.05	1.73570478759687E-10
0.0	1.1	2.27874346387446E-10
0.0	1.15	3.00150831389329E-10
0.0	1.2	3.96414409806699E-10
0.1	0.0	-2.68473138500326E-16
0.1	0.05	5.96603076266980E-11
0.1	0.1	7.27704530572259E-11
0.1	0.15	8.36706273948397E-11
0.1	0.2	9.60547503346588E-11
0.1	0.25	1.10276793663736E-10
0.1	0.3	1.26683586080864E-10
0.1	0.35	1.45700762628355E-10
0.1	0.4	1.67855409377304E-10
0.1	0.45	1.93805735179377E-10
0.1	0.5	2.24370268318529E-10
0.1	0.55	2.60575762411629E-10
0.1	0.6	3.03712960600144E-10
0.1	0.65	3.55455658055647E-10
0.1	0.7	4.17859234037900E-10
0.1	0.75	4.93663449274861E-10
0.1	0.8	5.86043297523012E-10
0.1	0.85	6.99559285877167E-10
0.1	0.9	8.40149267049285E-10
0.1	0.95	1.01434133707039E-09
0.1	1.0	1.23160570712226E-09
0.1	1.05	1.50380310331311E-09
0.1	1.1	1.84605680485053E-09
0.1	1.15	2.27789273361582E-09
0.1	1.2	2.82401848851366E-09
0.2	0.0	1.48838442914873E-16
0.2	0.05	1.51518347503226E-09
0.2	0.1	1.83958263944018E-09
0.2	0.15	2.09125409564009E-09
0.2	0.2	2.36788491696484E-09
0.2	0.25	2.67564307443736E-09
0.2	0.3	3.01891097023988E-09
0.2	0.35	3.40275257102752E-09
0.2	0.4	3.83309465857013E-09
0.2	0.45	4.31687356639545E-09
0.2	0.5	4.86229466188971E-09
0.2	0.55	5.47857667801377E-09
0.2	0.6	6.17879166821696E-09
0.2	0.65	6.97405843663282E-09
0.2	0.7	7.88393081443345E-09
0.2	0.75	8.92680527009861E-09
0.2	0.8	1.01271064934821E-08
0.2	0.85	1.15169601534297E-08
0.2	0.9	1.31272077154200E-08
0.2	0.95	1.50036823393994E-08
0.2	1.0	1.71991117970799E-08
0.2	1.05	1.97784116992396E-08
0.2	1.1	2.28209855572530E-08
0.2	1.15	2.64240262296977E-08
0.2	1.2	3.07067448598283E-08
0.3	0.0	-4.89709024558726E-17
0.3	0.05	3.90747511182384E-08
0.3	0.1	4.75262747080519E-08
0.3	0.15	5.37152571442838E-08
0.3	0.2	6.03202126119491E-08
0.3	0.25	6.74838300226814E-08
0.3	0.3	7.52707642338000E-08
0.3	0.35	8.37502065559140E-08
0.3	0.4	9.29973686817667E-08
0.3	0.45	1.03095347996585E-07
0.3	0.5	1.14136609964739E-07
0.3	0.55	1.26224637870853E-07
