vg	vd	ids
0.0	0.0	-4.95669434308492E-17
0.0	0.05	5.15061561480737E-13
0.0	0.1	6.05644298586844E-13
0.0	0.15	6.61833800781682E-13
0.0	0.2	7.21146872089956E-13
0.0	0.25	7.85208168143500E-13
0.0	0.3	8.54775954558982E-13
0.0	0.35	9.30565103010496E-13
0.0	0.4	1.01258866841626E-12
0.0	0.45	1.10236152716013E-12
0.0	0.5	1.20008956512971E-12
0.0	0.55	1.30740761857188E-12
0.0	0.6	1.42509828166245E-12
0.0	0.65	1.55458700640228E-12
0.0	0.7	1.69718609205378E-12
0.0	0.75	1.85509726296138E-12
0.0	0.8	2.02988246673530E-12
0.0	0.85	2.22422806690757E-12
0.0	0.9	2.44124809006872E-12
0.0	0.95	2.68391132001696E-12
0.0	1.0	2.95648586101734E-12
0.0	1.05	3.26385323681674E-12
0.0	1.1	3.61146501914948E-12
0.0	1.15	4.00697415300988E-12
0.0	1.2	4.45776411063876E-12
0.1	0.0	6.04922316281603E-17
0.1	0.05	1.55367736207991E-11
0.1	0.1	1.82844601942683E-11
0.1	0.15	1.99297164442297E-11
0.1	0.2	2.16339271765747E-11
0.1	0.25	2.34557803199955E-11
0.1	0.3	2.54060118974665E-11
0.1	0.35	2.74964533111162E-11
0.1	0.4	2.97399594733596E-11
0.1	0.45	3.21505144647151E-11
0.1	0.5	3.47440866846928E-11
0.1	0.55	3.75377006815891E-11
0.1	0.6	4.05507913227690E-11
0.1	0.65	4.38051528700274E-11
0.1	0.7	4.73231733703745E-11
0.1	0.75	5.11341193311798E-11
0.1	0.8	5.52659969091906E-11
0.1	0.85	5.97553728478759E-11
0.1	0.9	6.46382645969773E-11
0.1	0.95	6.99622231060361E-11
0.1	1.0	7.57732745435861E-11
0.1	1.05	8.21324680892497E-11
0.1	1.1	8.91051018534978E-11
0.1	1.15	9.67639764800990E-11
0.1	1.2	1.05199688042828E-10
0.2	0.0	-8.47014136614555E-17
0.2	0.05	4.74311009549930E-10
0.2	0.1	5.59680521311517E-10
0.2	0.15	6.09472683612197E-10
0.2	0.2	6.60253256907248E-10
0.2	0.25	7.13942899382151E-10
0.2	0.3	7.70809009931616E-10
0.2	0.35	8.31115166766196E-10
0.2	0.4	8.95129386087532E-10
0.2	0.45	9.63176473035760E-10
0.2	0.5	1.03553984745022E-09
0.2	0.55	1.11258847952091E-09
0.2	0.6	1.19466530820259E-09
0.2	0.65	1.28220364561068E-09
0.2	0.7	1.37560003174042E-09
0.2	0.75	1.47538971424721E-09
0.2	0.8	1.58201150087224E-09
0.2	0.85	1.69612065880322E-09
0.2	0.9	1.81827129182054E-09
0.2	0.95	1.94917077238857E-09
0.2	1.0	2.08961854606275E-09
0.2	1.05	2.24039503795338E-09
0.2	1.1	2.40241882118095E-09
0.2	1.15	2.57676928615135E-09
0.2	1.2	2.76456053683736E-09
0.3	0.0	1.52590715076652E-17
0.3	0.05	1.44386530161067E-08
0.3	0.1	1.71198774667271E-08
0.3	0.15	1.86502478186924E-08
0.3	0.2	2.01833310718058E-08
0.3	0.25	2.17851722554873E-08
0.3	0.3	2.34633174221194E-08
0.3	0.35	2.52239590602056E-08
0.3	0.4	2.70747922847195E-08
0.3	0.45	2.90210635036950E-08
0.3	0.5	3.10707238007863E-08
0.3	0.55	3.32293542762299E-08
0.3	0.6	3.55055969569599E-08
0.3	0.65	3.79071172351018E-08
0.3	0.7	4.04411995345379E-08
0.3	0.75	4.31178296378640E-08
0.3	0.8	4.59457373349980E-08
0.3	0.85	4.89345395752940E-08
0.3	0.9	5.20955427933819E-08
0.3	0.95	5.54398967986922E-08
0.3	1.0	5.89796354797109E-08
0.3	1.05	6.27279361692922E-08
0.3	1.1	6.66988013536753E-08
0.3	1.15	7.09072959453137E-08
0.3	1.2	7.53695747088013E-08
0.4	0.0	-1.32778048623787E-16
