vg	vd	ids
0.0	0.0	-1.82234071669383E-18
0.0	0.05	3.71922616738616E-12
0.0	0.1	4.51120793579236E-12
0.0	0.15	5.25996576311680E-12
0.0	0.2	6.15407111419615E-12
0.0	0.25	7.23214027899588E-12
0.0	0.3	8.54367880550401E-12
0.0	0.35	1.01536170977040E-11
0.0	0.4	1.21477719210537E-11
0.0	0.45	1.46404204702584E-11
0.0	0.5	1.77831394659696E-11
0.0	0.55	2.17773340061419E-11
0.0	0.6	2.68938887536639E-11
0.0	0.65	3.34967216124952E-11
0.0	0.7	4.20672801652667E-11
0.0	0.75	5.32560246277245E-11
0.0	0.8	6.79423025830552E-11
0.0	0.85	8.72210496608256E-11
0.0	0.9	1.12741120715609E-10
0.0	0.95	1.46552898745593E-10
0.0	1.0	1.91493780962632E-10
0.0	1.05	2.51346916728627E-10
0.0	1.1	3.31163958488299E-10
0.0	1.15	4.37678236401562E-10
0.0	1.2	5.79858723792721E-10
0.1	0.0	-7.79257540316737E-17
0.1	0.05	9.36766010904275E-11
0.1	0.1	1.11800462998477E-10
0.1	0.15	1.27145688555818E-10
0.1	0.2	1.44545978560170E-10
0.1	0.25	1.64433518789740E-10
0.1	0.3	1.87287034391617E-10
0.1	0.35	2.13695408262663E-10
0.1	0.4	2.44394695526614E-10
0.1	0.45	2.80305388089592E-10
0.1	0.5	3.22582366305306E-10
0.1	0.55	3.72673389203763E-10
0.1	0.6	4.32473413586684E-10
0.1	0.65	5.04192462724461E-10
0.1	0.7	5.91038315184359E-10
0.1	0.75	6.96853239645034E-10
0.1	0.8	8.26353136124928E-10
0.1	0.85	9.85977234330999E-10
0.1	0.9	1.18385393855776E-09
0.1	0.95	1.43038667222735E-09
0.1	1.0	1.73912139553271E-09
0.1	1.05	2.12730551281981E-09
0.1	1.1	2.61712409419117E-09
0.1	1.15	3.23704185983006E-09
0.1	1.2	4.02219210711994E-09
0.2	0.0	2.74442547561068E-17
0.2	0.05	2.52094123552153E-09
0.2	0.1	2.99262007362998E-09
0.2	0.15	3.36064318238552E-09
0.2	0.2	3.76353776056138E-09
0.2	0.25	4.20816992411859E-09
0.2	0.3	4.70047482421083E-09
0.2	0.35	5.24734836837250E-09
0.2	0.4	5.85683742046941E-09
0.2	0.45	6.53841934992736E-09
0.2	0.5	7.30329407876926E-09
0.2	0.55	8.16480500545867E-09
0.2	0.6	9.13890014442447E-09
0.2	0.65	1.02401870173664E-08
0.2	0.7	1.15054191677388E-08
0.2	0.75	1.29488221140239E-08
0.2	0.8	1.46088548676546E-08
0.2	0.85	1.65267431468745E-08
0.2	0.9	1.87526116180838E-08
0.2	0.95	2.13479085791913E-08
0.2	1.0	2.43875420811478E-08
0.2	1.05	2.79640063524385E-08
0.2	1.1	3.21898611892464E-08
0.2	1.15	3.72047931907482E-08
0.2	1.2	4.31788222137474E-08
0.3	0.0	1.98248638078069E-17
0.3	0.05	6.90598210467948E-08
0.3	0.1	8.21092086593660E-08
0.3	0.15	9.15907172921981E-08
0.3	0.2	1.01652478922951E-07
0.3	0.25	1.12454025434479E-07
0.3	0.3	1.24084673376346E-07
0.3	0.35	1.36637917457968E-07
0.3	0.4	1.50214802021955E-07
0.3	0.45	1.64925876155759E-07
0.3	0.5	1.80895093791640E-07
0.3	0.55	1.98259726502845E-07
0.3	0.6	2.17128276801340E-07
0.3	0.65	2.37817457053812E-07
0.3	0.7	2.60384392438528E-07
0.3	0.75	2.85102184711886E-07
0.3	0.8	3.12227989259025E-07
0.3	0.85	3.42061946511029E-07
0.3	0.9	3.74939366636820E-07
0.3	0.95	4.11250377394992E-07
0.3	1.0	4.51444033584281E-07
0.3	1.05	4.96037813472117E-07
0.3	1.1	5.45631444082729E-07
0.3	1.15	6.00914449610108E-07
0.3	1.2	6.62687528650326E-07
0.4	0.0	5.50259497529612E-17
0.4	0.05	1.67994694399130E-06
0.4	0.1	2.02280991601890E-06
0.4	0.15	2.23688838031816E-06
0.4	0.2	2.45132505429661E-06
0.4	0.25	2.67219007564364E-06
0.4	0.3	2.90076894065102E-06
0.4	0.35	3.13889306483057E-06
0.4	0.4	3.38670915487149E-06
0.4	0.45	3.64531607668308E-06
0.4	0.5	3.91549257176604E-06
0.4	0.55	4.19803677945507E-06
0.4	0.6	4.49371588982202E-06
0.4	0.65	4.80335943873708E-06
0.4	0.7	5.12777236252817E-06
0.4	0.75	5.46788949197991E-06
0.4	0.8	5.82460030641277E-06
0.4	0.85	6.19890238439144E-06
0.4	0.9	6.59184662338789E-06
0.4	0.95	7.00456639978842E-06
0.4	1.0	7.43826902422801E-06
0.4	1.05	7.89427319513844E-06
0.4	1.1	8.37398486670195E-06
0.4	1.15	8.87893309778231E-06
0.4	1.2	9.41080006057306E-06
0.5	0.0	1.41722005676403E-17
0.5	0.05	1.69875088963930E-05
0.5	0.1	2.24555870346732E-05
0.5	0.15	2.45667858816320E-05
0.5	0.2	2.61924387765974E-05
0.5	0.25	2.77245266647497E-05
0.5	0.3	2.92110662955924E-05
0.5	0.35	3.06707798938616E-05
0.5	0.4	3.21145461496087E-05
0.5	0.45	3.35501076556756E-05
0.5	0.5	3.49826893003987E-05
0.5	0.55	3.64164330670561E-05
0.5	0.6	3.78545607564900E-05
0.5	0.65	3.92997299717864E-05
0.5	0.7	4.07542493881120E-05
0.5	0.75	4.22200627465413E-05
0.5	0.8	4.36991796524875E-05
0.5	0.85	4.51930063404193E-05
0.5	0.9	4.67033734064116E-05
0.5	0.95	4.82317353003902E-05
0.5	1.0	4.97795399374424E-05
0.5	1.05	5.13483610150453E-05
0.5	1.1	5.29397571322467E-05
0.5	1.15	5.45552072511667E-05
0.5	1.2	5.61963014654773E-05
0.6	0.0	2.64515574516615E-17
0.6	0.05	4.82801533185323E-05
