vg	vd	ids
0.0	0.0	-3.22165349200436E-16
0.0	0.05	1.65147456958887E-13
0.0	0.1	1.85235549936265E-13
0.0	0.15	1.94091978033090E-13
0.0	0.2	2.03158827765497E-13
0.0	0.25	2.12533920569528E-13
0.0	0.3	2.21910342645625E-13
0.0	0.35	2.32682463723572E-13
0.0	0.4	2.42882766230372E-13
0.0	0.45	2.53729106273995E-13
0.0	0.5	2.64708699620835E-13
0.0	0.55	2.77024481771302E-13
0.0	0.6	2.89390706046972E-13
0.0	0.65	3.02153388928284E-13
0.0	0.7	3.15876039782077E-13
0.0	0.75	3.29762011891161E-13
0.0	0.8	3.44978005009222E-13
0.0	0.85	3.60051006765063E-13
0.0	0.9	3.75878204007596E-13
0.0	0.95	3.93490460918524E-13
0.0	1.0	4.10971754007933E-13
0.0	1.05	4.29600643980501E-13
0.0	1.1	4.49007368719346E-13
0.0	1.15	4.70269780928277E-13
0.0	1.2	4.90499076242423E-13
0.1	0.0	-3.37304506300971E-17
0.1	0.05	5.37790618884421E-12
0.1	0.1	6.05678249836404E-12
0.1	0.15	6.36110715482726E-12
0.1	0.2	6.66345403922520E-12
0.1	0.25	6.97573872352585E-12
0.1	0.3	7.29985702107266E-12
0.1	0.35	7.63535180681463E-12
0.1	0.4	7.98342155681304E-12
0.1	0.45	8.34349496341591E-12
0.1	0.5	8.71902052466736E-12
0.1	0.55	9.11216063524718E-12
0.1	0.6	9.51935614960070E-12
0.1	0.65	9.94336718795706E-12
0.1	0.7	1.03867058214866E-11
0.1	0.75	1.08463190753313E-11
0.1	0.8	1.13268125293451E-11
0.1	0.85	1.18273340320484E-11
0.1	0.9	1.23494890668651E-11
0.1	0.95	1.28945023414717E-11
0.1	1.0	1.34633531784786E-11
0.1	1.05	1.40564186252515E-11
0.1	1.1	1.46761273295558E-11
0.1	1.15	1.53225804116401E-11
0.1	1.2	1.59977424825746E-11
0.2	0.0	3.60684156153220E-17
0.2	0.05	1.77060832178669E-10
0.2	0.1	2.00333807748027E-10
0.2	0.15	2.10799763710734E-10
0.2	0.2	2.21099738451510E-10
0.2	0.25	2.31698740518780E-10
0.2	0.3	2.42630166827238E-10
0.2	0.35	2.53922832263245E-10
0.2	0.4	2.65602717335479E-10
0.2	0.45	2.77696043714414E-10
0.2	0.5	2.90173821738284E-10
0.2	0.55	3.03190087283459E-10
0.2	0.6	3.16673876139647E-10
0.2	0.65	3.30665640688116E-10
0.2	0.7	3.45222217632978E-10
0.2	0.75	3.60332097095409E-10
0.2	0.8	3.76025775059160E-10
0.2	0.85	3.92345185158274E-10
0.2	0.9	4.09308488576799E-10
0.2	0.95	4.26948671659400E-10
0.2	1.0	4.45293739460633E-10
0.2	1.05	4.64374072748705E-10
0.2	1.1	4.84223242267039E-10
0.2	1.15	5.04874830264206E-10
0.2	1.2	5.26364507714018E-10
0.3	0.0	-2.76900030024161E-16
0.3	0.05	5.84197265017807E-09
0.3	0.1	6.64576168188309E-09
0.3	0.15	7.00820460728464E-09
0.3	0.2	7.36058983756757E-09
0.3	0.25	7.72072900235685E-09
0.3	0.3	8.09004889425798E-09
0.3	0.35	8.46966690297233E-09
0.3	0.4	8.86057338532858E-09
0.3	0.45	9.26366066621874E-09
0.3	0.5	9.67775939062737E-09
0.3	0.55	1.01087141604038E-08
0.3	0.6	1.05539008609610E-08
0.3	0.65	1.10138687016741E-08
0.3	0.7	1.14898898855244E-08
0.3	0.75	1.19829067817170E-08
0.3	0.8	1.24935071949909E-08
0.3	0.85	1.30224602418807E-08
0.3	0.9	1.35705955143622E-08
0.3	0.95	1.41386993349210E-08
0.3	1.0	1.47276011028387E-08
0.3	1.05	1.53381348186880E-08
0.3	1.1	1.59711561908177E-08
0.3	1.15	1.66275443353059E-08
0.3	1.2	1.73082037525763E-08
0.4	0.0	5.62985831915614E-17
0.4	0.05	1.86732533524394E-07
0.4	0.1	2.14405033769968E-07
0.4	0.15	2.26648949314410E-07
0.4	0.2	2.38253728500117E-07
0.4	0.25	2.49958902305586E-07
0.4	0.3	2.61840413109742E-07
0.4	0.35	2.73949135569617E-07
0.4	0.4	2.86324114774458E-07
0.4	0.45	2.98968523766453E-07
0.4	0.5	3.11983141808069E-07
0.4	0.55	3.25339524071464E-07
0.4	0.6	3.39067100261817E-07
0.4	0.65	3.53187326160248E-07
0.4	0.7	3.67719920594920E-07
0.4	0.75	3.82684352161646E-07
0.4	0.8	3.98099576776027E-07
0.4	0.85	4.13983837722975E-07
0.4	0.9	4.30354916892087E-07
0.4	0.95	4.47230362846602E-07
0.4	1.0	4.64627686765778E-07
0.4	1.05	4.82564472681607E-07
0.4	1.1	5.01058267933350E-07
0.4	1.15	5.20126775990877E-07
0.4	1.2	5.39787875432443E-07
0.5	0.0	-5.11965974360583E-17
0.5	0.05	3.97453831092706E-06
0.5	0.1	4.79849922784991E-06
0.5	0.15	5.07581108255085E-06
0.5	0.2	5.30115489101196E-06
0.5	0.25	5.51861857142621E-06
0.5	0.3	5.73267923916191E-06
0.5	0.35	5.94526481622792E-06
0.5	0.4	6.15734109922012E-06
0.5	0.45	6.37047477005410E-06
0.5	0.5	6.58460447980600E-06
0.5	0.55	6.80036969246270E-06
0.5	0.6	7.01812587749114E-06
0.5	0.65	7.23816474874567E-06
0.5	0.7	7.46071093082169E-06
0.5	0.75	7.68595272632132E-06
0.5	0.8	7.91405532955071E-06
0.5	0.85	8.14514206144309E-06
0.5	0.9	8.37933922555925E-06
0.5	0.95	8.61674396499539E-06
0.5	1.0	8.85743635789121E-06
0.5	1.05	9.10150442728958E-06
0.5	1.1	9.34900746438811E-06
0.5	1.15	9.60000412619992E-06
0.5	1.2	9.85455731785205E-06
0.6	0.0	1.62644207013333E-16
0.6	0.05	2.08576537519612E-05
0.6	0.1	3.03122602198214E-05
0.6	0.15	3.36379671517874E-05
0.6	0.2	3.50524620414398E-05
0.6	0.25	3.61054109216819E-05
0.6	0.3	3.70650273159694E-05
0.6	0.35	3.79755059753958E-05
0.6	0.4	3.88535750458248E-05
0.6	0.45	3.97098734859719E-05
0.6	0.5	4.05501276773984E-05
0.6	0.55	4.13786553004627E-05
0.6	0.6	4.21985866549309E-05
0.6	0.65	4.30119163367009E-05
0.6	0.7	4.38204487199395E-05
0.6	0.75	4.46253325923024E-05
0.6	0.8	4.54276181966766E-05
0.6	0.85	4.62281507337701E-05
0.6	0.9	4.70275271984084E-05
0.6	0.95	4.78263349093429E-05
0.6	1.0	4.86250074083379E-05
0.6	1.05	4.94239297225375E-05
0.6	1.1	5.02233813460774E-05
0.6	1.15	5.10236780363143E-05
0.6	1.2	5.18250320657581E-05
0.7	0.0	-9.35361148989218E-17
0.7	0.05	4.25636970362432E-05
0.7	0.1	7.05174520784517E-05
0.7	0.15	8.64604100009789E-05
0.7	0.2	9.42359906815547E-05
0.7	0.25	9.79740818825518E-05
0.7	0.3	1.00385289699772E-04
0.7	0.35	1.02408125028783E-04
0.7	0.4	1.04248874971893E-04
0.7	0.45	1.05979292636582E-04
0.7	0.5	1.07634769604802E-04
0.7	0.55	1.09237029715682E-04
0.7	0.6	1.10798713968748E-04
0.7	0.65	1.12328627767938E-04
0.7	0.7	1.13832801628869E-04
0.7	0.75	1.15315508144070E-04
0.7	0.8	1.16780265948093E-04
0.7	0.85	1.18229669450744E-04
0.7	0.9	1.19665646423790E-04
0.7	0.95	1.21090122709594E-04
0.7	1.0	1.22504337319803E-04
0.7	1.05	1.23909520720526E-04
0.7	1.1	1.25306565698915E-04
0.7	1.15	1.26696426737136E-04
0.7	1.2	1.28079765781896E-04
0.8	0.0	8.51427477753797E-17
0.8	0.05	6.25274854979827E-05
0.8	0.1	1.09923918203138E-04
0.8	0.15	1.43437201413206E-04
0.8	0.2	1.65140738598757E-04
0.8	0.25	1.77835574614839E-04
0.8	0.3	1.84854377689220E-04
0.8	0.35	1.89183479650403E-04
0.8	0.4	1.92498206802482E-04
0.8	0.45	1.95374162910631E-04
0.8	0.5	1.98000716428906E-04
0.8	0.55	2.00470499790960E-04
0.8	0.6	2.02832501123632E-04
0.8	0.65	2.05115408171217E-04
0.8	0.7	2.07336433480626E-04
0.8	0.75	2.09507515854988E-04
0.8	0.8	2.11636758670870E-04
0.8	0.85	2.13730112174026E-04
0.8	0.9	2.15792670880870E-04
0.8	0.95	2.17827958445831E-04
0.8	1.0	2.19838978899610E-04
0.8	1.05	2.21828157187689E-04
0.8	1.1	2.23797753978001E-04
0.8	1.15	2.25749502441873E-04
0.8	1.2	2.27684336198043E-04
0.9	0.0	-7.78432775980628E-18
0.9	0.05	7.97640738535148E-05
0.9	0.1	1.44691947132185E-04
0.9	0.15	1.95426096586655E-04
0.9	0.2	2.33182270886817E-04
0.9	0.25	2.59609664567956E-04
0.9	0.3	2.76847421123632E-04
0.9	0.35	2.87491639287478E-04
0.9	0.4	2.94234761802809E-04
0.9	0.45	2.99110133605861E-04
0.9	0.5	3.03129436700549E-04
0.9	0.55	3.06688299532543E-04
0.9	0.6	3.09968704802984E-04
0.9	0.65	3.13069078994667E-04
0.9	0.7	3.16041913039511E-04
0.9	0.75	3.18917775458133E-04
0.9	0.8	3.21715906598105E-04
0.9	0.85	3.24449547581073E-04
0.9	0.9	3.27128202961976E-04
0.9	0.95	3.29759059275861E-04
0.9	1.0	3.32348376347223E-04
0.9	1.05	3.34899602364115E-04
0.9	1.1	3.37417102036708E-04
0.9	1.15	3.39903935459427E-04
0.9	1.2	3.42362235990250E-04
1.0	0.0	-2.54586782548054E-16
1.0	0.05	9.43847191740818E-05
1.0	0.1	1.74506568939046E-04
1.0	0.15	2.40700848104661E-04
1.0	0.2	2.93758982090660E-04
1.0	0.25	3.34739262988953E-04
1.0	0.3	3.64985109240956E-04
1.0	0.35	3.86175766002579E-04
1.0	0.4	4.00353071965255E-04
1.0	0.45	4.09779786746039E-04
1.0	0.5	4.16486072591556E-04
1.0	0.55	4.21789919690404E-04
1.0	0.6	4.26340217339868E-04
1.0	0.65	4.30446391000840E-04
1.0	0.7	4.34273853940904E-04
1.0	0.75	4.37912938189623E-04
1.0	0.8	4.41412806559855E-04
1.0	0.85	4.44803620327576E-04
1.0	0.9	4.48104847429296E-04
1.0	0.95	4.51330837674509E-04
1.0	1.0	4.54490964406963E-04
1.0	1.05	4.57593769381828E-04
1.0	1.1	4.60645573634641E-04
1.0	1.15	4.63650577617867E-04
1.0	1.2	4.66613840870615E-04
1.1	0.0	2.84261412574274E-16
1.1	0.05	1.06735137078201E-04
1.1	0.1	1.99847347498756E-04
1.1	0.15	2.79513373250098E-04
1.1	0.2	3.46303650202746E-04
1.1	0.25	4.00966969645827E-04
1.1	0.3	4.44415024388088E-04
1.1	0.35	4.77750786103710E-04
1.1	0.4	5.02320255678155E-04
1.1	0.45	5.19752880724279E-04
1.1	0.5	5.31912791911382E-04
1.1	0.55	5.40647223949088E-04
1.1	0.6	5.47394666485888E-04
1.1	0.65	5.53021178764858E-04
1.1	0.7	5.57990058184377E-04
1.1	0.75	5.62553172682177E-04
1.1	0.8	5.66849070577610E-04
1.1	0.85	5.70954829139640E-04
1.1	0.9	5.74914077071738E-04
1.1	0.95	5.78755319948240E-04
1.1	1.0	5.82498348598265E-04
1.1	1.05	5.86156439551103E-04
1.1	1.1	5.89741283235066E-04
1.1	1.15	5.93260245179131E-04
1.1	1.2	5.96719897342289E-04
1.2	0.0	-2.08526235252524E-16
1.2	0.05	1.17190284261085E-04
1.2	0.1	2.21372169783605E-04
1.2	0.15	3.12643676106248E-04
1.2	0.2	3.91461342135747E-04
1.2	0.25	4.58410357744925E-04
1.2	0.3	5.14169252645570E-04
1.2	0.35	5.59517217310088E-04
1.2	0.4	5.95367853071128E-04
1.2	0.45	6.22815717190219E-04
1.2	0.5	6.43177272627337E-04
1.2	0.55	6.57982567622300E-04
1.2	0.6	6.68842721526136E-04
1.2	0.65	6.77174474263135E-04
1.2	0.7	6.83980039315646E-04
1.2	0.75	6.89868146769580E-04
1.2	0.8	6.95191709958436E-04
1.2	0.85	7.00150742101767E-04
1.2	0.9	7.04855625117586E-04
1.2	0.95	7.09370187169710E-04
1.2	1.0	7.13733235014473E-04
1.2	1.05	7.17972010841036E-04
1.2	1.1	7.22105608580122E-04
1.2	1.15	7.26146670164344E-04
1.2	1.2	7.30108246039493E-04
