vg	vd	ids
0.0	0.0	-6.36314254205418E-17
0.0	0.05	3.09925279110466E-13
0.0	0.1	3.58358869228719E-13
0.0	0.15	3.90664325809772E-13
0.0	0.2	4.25016522745597E-13
0.0	0.25	4.61926184834636E-13
0.0	0.3	5.01991391083475E-13
0.0	0.35	5.45049469431421E-13
0.0	0.4	5.91952277558684E-13
0.0	0.45	6.42926872534099E-13
0.0	0.5	6.97672244517108E-13
0.0	0.55	7.57332669348521E-13
0.0	0.6	8.22135339284154E-13
0.0	0.65	8.92792804393419E-13
0.0	0.7	9.69659052717176E-13
0.0	0.75	1.05351141151383E-12
0.0	0.8	1.14499099981473E-12
0.0	0.85	1.24520952034110E-12
0.0	0.9	1.35479897146749E-12
0.0	0.95	1.47508097314461E-12
0.0	1.0	1.60724629469417E-12
0.0	1.05	1.75244182773142E-12
0.0	1.1	1.91288978322044E-12
0.0	1.15	2.08980228161909E-12
0.0	1.2	2.28591259214080E-12
0.1	0.0	7.40662092901655E-17
0.1	0.05	9.02519354673880E-12
0.1	0.1	1.04688337573670E-11
0.1	0.15	1.14035858993990E-11
0.1	0.2	1.23879348705695E-11
0.1	0.25	1.34405450302416E-11
0.1	0.3	1.45681772707805E-11
0.1	0.35	1.57764408577407E-11
0.1	0.4	1.70722293368550E-11
0.1	0.45	1.84626437494624E-11
0.1	0.5	1.99563717139114E-11
0.1	0.55	2.15620138331969E-11
0.1	0.6	2.32891742523888E-11
0.1	0.65	2.51489741903780E-11
0.1	0.7	2.71513517333148E-11
0.1	0.75	2.93092618690629E-11
0.1	0.8	3.16366326942264E-11
0.1	0.85	3.41477366872759E-11
0.1	0.9	3.68608650968472E-11
0.1	0.95	3.97930458429643E-11
0.1	1.0	4.29650911504761E-11
0.1	1.05	4.63999996718523E-11
0.1	1.1	5.01230735377781E-11
0.1	1.15	5.41618533182848E-11
0.1	1.2	5.85474010900588E-11
0.2	0.0	-4.63167253021387E-17
0.2	0.05	2.64923977494158E-10
0.2	0.1	3.08569303651325E-10
0.2	0.15	3.36245173299026E-10
0.2	0.2	3.65069194937326E-10
0.2	0.25	3.95652612986780E-10
0.2	0.3	4.28143882161963E-10
0.2	0.35	4.62696487051697E-10
0.2	0.4	4.99471850493570E-10
0.2	0.45	5.38640457859985E-10
0.2	0.5	5.80340536496848E-10
0.2	0.55	6.24840309322418E-10
0.2	0.6	6.72364313305178E-10
0.2	0.65	7.23044785965278E-10
0.2	0.7	7.77153752391812E-10
0.2	0.75	8.34951679407145E-10
0.2	0.8	8.96725533270571E-10
0.2	0.85	9.62750247280307E-10
0.2	0.9	1.03335587158912E-09
0.2	0.95	1.10889579511005E-09
0.2	1.0	1.18974225203746E-09
0.2	1.05	1.27629675066534E-09
0.2	1.1	1.36900685207840E-09
0.2	1.15	1.46836044287737E-09
0.2	1.2	1.57488091368760E-09
0.3	0.0	-8.04998230407950E-17
0.3	0.05	7.74533457549033E-09
0.3	0.1	9.07398782173747E-09
0.3	0.15	9.90054079545784E-09
0.3	0.2	1.07500281791333E-08
0.3	0.25	1.16431212428679E-08
0.3	0.3	1.25838892529938E-08
0.3	0.35	1.35762517561553E-08
0.3	0.4	1.46241473676303E-08
0.3	0.45	1.57316029181705E-08
0.3	0.5	1.69015936835633E-08
0.3	0.55	1.81415802863709E-08
0.3	0.6	1.94535137474469E-08
0.3	0.65	2.08427348039213E-08
0.3	0.7	2.23145389273104E-08
0.3	0.75	2.38738598943869E-08
0.3	0.8	2.55264412792745E-08
0.3	0.85	2.72782422029882E-08
0.3	0.9	2.91355485756019E-08
0.3	0.95	3.11049771684744E-08
0.3	1.0	3.31936368111523E-08
0.3	1.05	3.54091325333954E-08
