vg	vd	ids
0.0	0.0	1.35682126715915E-16
0.0	0.05	8.56303867640467E-12
0.0	0.1	1.12174560016057E-11
0.0	0.15	1.45485476579858E-11
0.0	0.2	1.91001746995724E-11
0.0	0.25	2.53986162317625E-11
0.0	0.3	3.42129347675768E-11
0.0	0.35	4.66703361355156E-11
0.0	0.4	6.44182040639139E-11
0.0	0.45	8.98081974729146E-11
0.0	0.5	1.26330808018307E-10
0.0	0.55	1.79139863024473E-10
0.0	0.6	2.55707577812189E-10
0.0	0.65	3.66916568216920E-10
0.0	0.7	5.28483779202407E-10
0.0	0.75	7.63094138328187E-10
0.0	0.8	1.10329225316083E-09
0.0	0.85	1.59553180915534E-09
0.0	0.9	2.30578587319263E-09
0.0	0.95	3.32720612809362E-09
0.0	1.0	4.79072034938093E-09
0.0	1.05	6.87906794874555E-09
0.0	1.1	9.84566450713294E-09
0.0	1.15	1.40398940930452E-08
0.0	1.2	1.99397657012119E-08
0.1	0.0	-6.35267148217226E-17
0.1	0.05	1.57607897546521E-10
0.1	0.1	1.96068270812913E-10
0.1	0.15	2.38166102857148E-10
0.1	0.2	2.90641767804834E-10
0.1	0.25	3.56725837722894E-10
0.1	0.3	4.40825323660586E-10
0.1	0.35	5.48983118347731E-10
0.1	0.4	6.89523228118122E-10
0.1	0.45	8.73946609848818E-10
0.1	0.5	1.11812932207503E-09
0.1	0.55	1.44415938710372E-09
0.1	0.6	1.88263313054873E-09
0.1	0.65	2.47584593944515E-09
0.1	0.7	3.28204900078360E-09
0.1	0.75	4.37951296643552E-09
0.1	0.8	5.87815974568527E-09
0.1	0.85	7.93054671754406E-09
0.1	0.9	1.07447098548556E-08
0.1	0.95	1.46042892886883E-08
0.1	1.0	1.98933561131897E-08
0.1	1.05	2.71301435243588E-08
0.1	1.1	3.70102696889133E-08
0.1	1.15	5.04599044571753E-08
0.1	1.2	6.87039476465800E-08
0.2	0.0	6.76656651793908E-17
0.2	0.05	3.44081468346956E-09
0.2	0.1	4.18714258147018E-09
0.2	0.15	4.92254407224267E-09
0.2	0.2	5.78395791040299E-09
0.2	0.25	6.79906105256133E-09
0.2	0.3	8.00238981747981E-09
0.2	0.35	9.43734268611179E-09
0.2	0.4	1.11592090537510E-08
0.2	0.45	1.32392660102104E-08
0.2	0.5	1.57693953709913E-08
0.2	0.55	1.88684328997466E-08
0.2	0.6	2.26907582224080E-08
0.2	0.65	2.74375493159334E-08
0.2	0.7	3.33708824923244E-08
0.2	0.75	4.08313460627658E-08
0.2	0.8	5.02636238926412E-08
0.2	0.85	6.22477281311361E-08
0.2	0.9	7.75363032448726E-08
0.2	0.95	9.71018523291326E-08
0.2	1.0	1.22195271989608E-07
0.2	1.05	1.54417069552222E-07
0.2	1.1	1.95767544071457E-07
0.2	1.15	2.48755376975157E-07
0.2	1.2	3.16667541413613E-07
0.3	0.0	-1.99015166531029E-17
0.3	0.05	8.00985246301473E-08
0.3	0.1	9.68109617149188E-08
0.3	0.15	1.11879153682750E-07
0.3	0.2	1.28761828126017E-07
0.3	0.25	1.47792260599394E-07
0.3	0.3	1.69297652321298E-07
0.3	0.35	1.93670123478748E-07
0.3	0.4	2.21362918536870E-07
0.3	0.45	2.52910947968961E-07
0.3	0.5	2.88948586369353E-07
0.3	0.55	3.30232461127269E-07
0.3	0.6	3.77669390233451E-07
0.3	0.65	4.32348507294443E-07
0.3	0.7	4.95580773315182E-07
0.3	0.75	5.68947113218410E-07
0.3	0.8	6.54357117727847E-07
0.3	0.85	7.54111650153887E-07
0.3	0.9	8.70983966688654E-07
0.3	0.95	1.00830592169710E-06
0.3	1.0	1.17006122062997E-06
0.3	1.05	1.36100002912131E-06
0.3	1.1	1.58674956817427E-06
0.3	1.15	1.85390745117612E-06
0.3	1.2	2.17017637530892E-06
0.4	0.0	7.38004345947113E-17
0.4	0.05	1.69820399036226E-06
0.4	0.1	2.06361522224950E-06
0.4	0.15	2.34442339300881E-06
0.4	0.2	2.63951896818882E-06
0.4	0.25	2.95447797394914E-06
0.4	0.3	3.29210015708355E-06
0.4	0.35	3.65484634996827E-06
0.4	0.4	4.04497943475091E-06
0.4	0.45	4.46476697780412E-06
0.4	0.5	4.91656692033795E-06
0.4	0.55	5.40285703437370E-06
0.4	0.6	5.92634502240063E-06
0.4	0.65	6.48994419629481E-06
0.4	0.7	7.09686705509556E-06
0.4	0.75	7.75065468945938E-06
0.4	0.8	8.45522472655142E-06
0.4	0.85	9.21491581674240E-06
0.4	0.9	1.00345598968769E-05
0.4	0.95	1.09194775280816E-05
0.4	1.0	1.18755985560620E-05
0.4	1.05	1.29094105347897E-05
0.4	1.1	1.40280317805624E-05
0.4	1.15	1.52392380280803E-05
0.4	1.2	1.65513318860632E-05
0.5	0.0	1.37197318664966E-16
0.5	0.05	1.67212669289721E-05
0.5	0.1	2.16494269979528E-05
0.5	0.15	2.39379701892748E-05
0.5	0.2	2.59182489340620E-05
0.5	0.25	2.78373162070958E-05
0.5	0.3	2.97440245412645E-05
0.5	0.35	3.16599239393596E-05
0.5	0.4	3.35960674947698E-05
0.5	0.45	3.55591455821117E-05
0.5	0.5	3.75540901774415E-05
0.5	0.55	3.95843103621614E-05
0.5	0.6	4.16531231035452E-05
0.5	0.65	4.37634121587649E-05
0.5	0.7	4.59181094955611E-05
0.5	0.75	4.81202444207173E-05
0.5	0.8	5.03730204963751E-05
0.5	0.85	5.26799805575233E-05
0.5	0.9	5.50449222388200E-05
0.5	0.95	5.74722074761147E-05
0.5	1.0	5.99664560398202E-05
0.5	1.05	6.25327848535351E-05
0.5	1.1	6.51768285600758E-05
0.5	1.15	6.79045741696102E-05
0.5	1.2	7.07224058335831E-05
0.6	0.0	-8.72841438608135E-17
0.6	0.05	5.00862283946026E-05
0.6	0.1	7.48648791090770E-05
0.6	0.15	8.55094304682108E-05
0.6	0.2	9.13022612707439E-05
0.6	0.25	9.59100394978528E-05
0.6	0.3	1.00109268650676E-04
0.6	0.35	1.04114946941721E-04
0.6	0.4	1.08012889891492E-04
0.6	0.45	1.11843419703904E-04
0.6	0.5	1.15629896464604E-04
0.6	0.55	1.19387642706820E-04
0.6	0.6	1.23126957639100E-04
0.6	0.65	1.26856824035762E-04
0.6	0.7	1.30584137032919E-04
0.6	0.75	1.34315724492368E-04
0.6	0.8	1.38057242719592E-04
0.6	0.85	1.41814520348105E-04
0.6	0.9	1.45593635995340E-04
0.6	0.95	1.49400149443891E-04
0.6	1.0	1.53240129430651E-04
0.6	1.05	1.57120037594050E-04
0.6	1.1	1.61046463208124E-04
0.6	1.15	1.65025646235497E-04
0.6	1.2	1.69064934002321E-04
0.7	0.0	6.90739693982561E-18
0.7	0.05	8.53356877354281E-05
0.7	0.1	1.39705194696937E-04
0.7	0.15	1.70574879048639E-04
0.7	0.2	1.86827601395038E-04
0.7	0.25	1.96404648172030E-04
0.7	0.3	2.03616200403308E-04
0.7	0.35	2.09908063265646E-04
0.7	0.4	2.15759057187345E-04
0.7	0.45	2.21355879215538E-04
0.7	0.5	2.26782597037828E-04
0.7	0.55	2.32084613451069E-04
0.7	0.6	2.37290820763348E-04
0.7	0.65	2.42421565503207E-04
0.7	0.7	2.47492849718002E-04
0.7	0.75	2.52517021252680E-04
0.7	0.8	2.57506039047990E-04
0.7	0.85	2.62468791290512E-04
0.7	0.9	2.67414601329959E-04
0.7	0.95	2.72352564425712E-04
0.7	1.0	2.77289612325843E-04
0.7	1.05	2.82235556015861E-04
0.7	1.1	2.87198137666294E-04
0.7	1.15	2.92185181525888E-04
0.7	1.2	2.97206008015174E-04
0.8	0.0	1.00775863208762E-16
0.8	0.05	1.16619777533952E-04
0.8	0.1	2.00425026730696E-04
0.8	0.15	2.56584600845203E-04
0.8	0.2	2.91552335097370E-04
0.8	0.25	3.12333374589580E-04
0.8	0.3	3.25430831825962E-04
