vg	vd	ids
0.0	0.0	-3.00482426886947E-17
0.0	0.05	8.26507592642153E-13
0.0	0.1	9.33585346658754E-13
0.0	0.15	1.00794137671071E-12
0.0	0.2	1.08731928895427E-12
0.0	0.25	1.17240492999121E-12
0.0	0.3	1.26348857855310E-12
0.0	0.35	1.36131215316584E-12
0.0	0.4	1.46637267454914E-12
0.0	0.45	1.57974371297679E-12
0.0	0.5	1.70186050819642E-12
0.0	0.55	1.83367930668351E-12
0.0	0.6	1.97617841712218E-12
0.0	0.65	2.13038677034063E-12
0.0	0.7	2.29804686563311E-12
0.0	0.75	2.48002033048868E-12
0.0	0.8	2.67834767813707E-12
0.0	0.85	2.89451094362876E-12
0.0	0.9	3.13077439602498E-12
0.0	0.95	3.39008668026392E-12
0.0	1.0	3.67460347131113E-12
0.0	1.05	3.98785142867218E-12
0.0	1.1	4.33413332355599E-12
0.0	1.15	4.71696904354263E-12
0.0	1.2	5.14296290864102E-12
0.1	0.0	5.47727765875100E-18
0.1	0.05	2.58150584988095E-11
0.1	0.1	2.92278283989731E-11
0.1	0.15	3.15069473059944E-11
0.1	0.2	3.39067507822184E-11
0.1	0.25	3.64500340365655E-11
0.1	0.3	3.91488630032673E-11
0.1	0.35	4.20160153765587E-11
0.1	0.4	4.50650579422500E-11
0.1	0.45	4.83110794968402E-11
0.1	0.5	5.17665088226229E-11
0.1	0.55	5.54529401694541E-11
0.1	0.6	5.93947060037241E-11
0.1	0.65	6.36044514593102E-11
0.1	0.7	6.81063731302061E-11
0.1	0.75	7.29259582792587E-11
0.1	0.8	7.80934704274372E-11
0.1	0.85	8.36343148728181E-11
0.1	0.9	8.95916978540758E-11
0.1	0.95	9.59906621520687E-11
0.1	1.0	1.02887038068291E-10
0.1	1.05	1.10322634915114E-10
0.1	1.1	1.18347896758967E-10
0.1	1.15	1.27049097526642E-10
0.1	1.2	1.36451848755879E-10
0.2	0.0	-2.12872270931793E-17
0.2	0.05	8.14037339522544E-10
0.2	0.1	9.25146465407236E-10
0.2	0.15	9.96755906265072E-10
0.2	0.2	1.07128664365023E-09
0.2	0.25	1.14954354193281E-09
0.2	0.3	1.23183594711189E-09
