vg	vd	ids
0.0	0.0	3.41962924592919E-17
0.0	0.05	5.97062399307354E-13
0.0	0.1	6.91857946075930E-13
0.0	0.15	7.40236292297889E-13
0.0	0.2	7.89063803205592E-13
0.0	0.25	8.40624435167983E-13
0.0	0.3	8.95106048491888E-13
0.0	0.35	9.52901685112135E-13
0.0	0.4	1.01424477056504E-12
0.0	0.45	1.07950063039857E-12
0.0	0.5	1.14892854710379E-12
0.0	0.55	1.22303164724780E-12
0.0	0.6	1.30197143307898E-12
0.0	0.65	1.38639533268163E-12
0.0	0.7	1.47682580856698E-12
0.0	0.75	1.57383086941685E-12
0.0	0.8	1.67806194969098E-12
0.0	0.85	1.79010619950030E-12
0.0	0.9	1.91090728574561E-12
0.0	0.95	2.04148180234059E-12
0.0	1.0	2.18278274729288E-12
0.0	1.05	2.33615326609338E-12
0.0	1.1	2.50290651478094E-12
0.0	1.15	2.68464107990382E-12
0.0	1.2	2.88346165471925E-12
0.1	0.0	1.49005484997425E-17
0.1	0.05	1.98472774664179E-11
0.1	0.1	2.30393892420825E-11
0.1	0.15	2.46209865810642E-11
0.1	0.2	2.61906163734029E-11
0.1	0.25	2.78327645931689E-11
0.1	0.3	2.95538087981249E-11
0.1	0.35	3.13600703596532E-11
0.1	0.4	3.32577350653161E-11
0.1	0.45	3.52538696527366E-11
0.1	0.5	3.73559233977882E-11
0.1	0.55	3.95714760482944E-11
0.1	0.6	4.19092161182931E-11
0.1	0.65	4.43783505425879E-11
0.1	0.7	4.69887293886350E-11
0.1	0.75	4.97513499271010E-11
0.1	0.8	5.26780775711602E-11
0.1	0.85	5.57817396364260E-11
0.1	0.9	5.90770653528790E-11
0.1	0.95	6.25793123103070E-11
0.1	1.0	6.63061322247000E-11
0.1	1.05	7.02767194335564E-11
0.1	1.1	7.45120366603060E-11
0.1	1.15	7.90362281332140E-11
0.1	1.2	8.38753859204640E-11
0.2	0.0	-3.07051724881238E-18
0.2	0.05	6.65879885668537E-10
0.2	0.1	7.75216543154291E-10
0.2	0.15	8.28319313993795E-10
0.2	0.2	8.80193598453413E-10
0.2	0.25	9.33947646329214E-10
0.2	0.3	9.89784064256692E-10
0.2	0.35	1.04786869108372E-09
0.2	0.4	1.10836720507025E-09
0.2	0.45	1.17146315026969E-09
0.2	0.5	1.23732152612679E-09
0.2	0.55	1.30614696585076E-09
0.2	0.6	1.37810606563940E-09
0.2	0.65	1.45340362401480E-09
0.2	0.7	1.53226657391509E-09
0.2	0.75	1.61491403916049E-09
0.2	0.8	1.70160224999461E-09
0.2	0.85	1.79257483647955E-09
0.2	0.9	1.88813400034308E-09
0.2	0.95	1.98855592260620E-09
